strategy,trial_count,full_vector_success_probability,median_probe_count,p95_probe_count,median_duration_s,median_force_squared_dose_n2_s,median_absolute_input_energy_j,median_absolute_impulse_n_s,maximum_peak_force_n,maximum_peak_target_displacement_m,maximum_peak_target_velocity_m_per_s,maximum_peak_target_acceleration_m_per_s2,median_information_per_force_dose,parameter_error_rmse,parameter_error_p95,worst_target_parameter_error_p95,stiffness_relative_rmse,stiffness_relative_bias,stiffness_p95_abs_relative_error,stiffness_threshold_success_probability,stiffness_worst_target_p95_abs_relative_error,damping_relative_rmse,damping_relative_bias,damping_p95_abs_relative_error,damping_threshold_success_probability,damping_worst_target_p95_abs_relative_error,effective_mass_relative_rmse,effective_mass_relative_bias,effective_mass_p95_abs_relative_error,effective_mass_threshold_success_probability,effective_mass_worst_target_p95_abs_relative_error
predefined_multistage,120,0.5916666666666667,3.0,3.0,9.0,4.460687625385932,0.06303213624495141,3.181809226386918,1.0,0.013835454654178478,0.2391853066277591,11.085027869378083,3.7770036843303574,0.20738536671526459,0.2956983168192419,0.3097414127145678,0.048932926993109555,0.04084737758402802,0.08406773667179314,1.0,0.08565193978111377,0.31024479037521596,-0.24069418166144105,0.5011473784851945,0.6666666666666666,0.5256169196318152,0.17429804842223456,0.08013963309992432,0.32958724353343605,0.925,0.4321787073715538
repeated_identical_chirp,120,0.7583333333333333,3.0,3.0,9.0,4.445285148762559,0.06979595618460976,3.1664106306604536,1.0,0.01491271511983529,0.2523682163670492,11.085027869378083,3.9224002368490685,0.18604818871206572,0.3855448071086436,0.3953091066177561,0.03439708460516898,-0.027109237392434204,0.049163776371067856,1.0,0.05803673539946021,0.291864894143556,-0.20221607135377964,0.6493072404743597,0.775,0.6698354787559706,0.132187403735594,0.08223197609417203,0.22134304421809858,0.9833333333333333,0.2512358725874716
single_fixed_chirp,120,0.9083333333333333,1.0,1.0,3.0,1.4817617162541863,0.024096591685138745,1.0554702102201512,1.0,0.014366750150007601,0.24957585273468827,4.408982687049486,9.590529171116398,0.12742067528073497,0.19519262511285673,0.20921620597039148,0.03587576123361905,-0.02752431669605253,0.05492218289006165,1.0,0.06651233467020758,0.16025839273728068,-0.1143043363805821,0.30922099788490826,0.9416666666666667,0.32126177414690876,0.1474390137655817,0.06892669642154099,0.24448853271982376,0.9666666666666667,0.3500136089367373
single_multisine,120,0.3416666666666667,1.0,1.0,3.0,0.375,0.00547266223214923,0.5167814379830619,0.9189637161955886,0.0051770249480227746,0.07882171164815355,3.999146443782805,29.76210070617634,0.7969960209917544,1.8234153083904685,1.9213200447827568,0.10657783917011296,0.09409815111071049,0.16049046162863198,1.0,0.1652050112701838,1.3712625818311936,-0.9021211197393018,3.158034091932184,0.3416666666666667,3.3276502294493593,0.1178476486721117,0.058326484761962574,0.20490785053108965,0.9833333333333333,0.3236419638668965
uncertainty_driven,120,0.65,2.5,3.0,7.5,3.1491697671987864,0.032363389083414594,2.367174914979904,1.0,0.01567936727940557,0.2706930536403658,5.322724284692054,5.480127017445153,0.18927850420500464,0.30399488821382614,0.3369644285914062,0.09272995804585348,0.016219106167293686,0.21694811177735418,0.8333333333333334,0.22420876617206706,0.2837952051789508,-0.18568248086232378,0.510516782295226,0.6666666666666666,0.5682849360700412,0.13542707580282215,0.08689265950566624,0.22037890124535955,0.9833333333333333,0.30353142613196105
