case_id,scenario,target,probe,random_seed,true_stiffness_n_per_m,true_damping_n_s_per_m,true_effective_mass_kg,batch_stiffness_n_per_m,batch_damping_n_s_per_m,batch_effective_mass_kg,batch_stiffness_relative_error,batch_damping_relative_error,batch_effective_mass_relative_error,batch_relative_error_rms,batch_force_rmse_n,rls_stiffness_n_per_m,rls_damping_n_s_per_m,rls_effective_mass_kg,rls_stiffness_relative_error,rls_damping_relative_error,rls_effective_mass_relative_error,rls_relative_error_rms,regression_rank,normalized_condition_number,normalized_min_singular_value,parameter_correlation_k_c,parameter_correlation_k_m,parameter_correlation_c_m,maximum_abs_parameter_correlation,peak_abs_probe_force_n,peak_abs_displacement_m,peak_abs_velocity_m_per_s,peak_abs_acceleration_m_per_s2
perfect__low_effective_mass__ramp,perfect,low_effective_mass,ramp,1501,300.0,5.0,0.1,300.0000000000004,5.000000000000025,0.09999999999998632,1.3263464400855204e-15,4.973799150320701e-15,-1.3683498778505054e-13,7.905759873872928e-14,1.2749504426763099e-15,299.9999999999797,5.000000000007746,0.09999999999972142,-6.764366844436153e-14,1.5491607996409585e-12,-2.785827124540674e-12,1.8407704561633412e-12,3,1.3422837269421284,0.844876664210547,-0.2750294183517542,0.08549707895050572,-0.023656655924365343,0.2750294183517542,1.0,0.0033617585381014964,0.0053311263796243825,0.13862887797661538
perfect__low_effective_mass__half_sine,perfect,low_effective_mass,half_sine,1502,300.0,5.0,0.1,300.00000000000006,5.000000000000002,0.10000000000000142,1.8947806286936006e-16,3.552713678800501e-16,1.4155343563970746e-14,8.175896915021865e-15,1.0484092056647867e-16,299.99999999997794,4.999999999999682,0.09999999999982447,-7.351748839331169e-14,-6.359357485052896e-14,-1.7554013798104506e-12,1.015034148539244e-12,3,1.3298242577119996,0.8499590920441614,-5.4556977709113564e-05,0.277569482475572,-0.0001967376248258366,0.2775694824755723,1.0,0.0033397118658750223,0.012466597781387215,0.32678411338292807
perfect__low_effective_mass__sinusoid,perfect,low_effective_mass,sinusoid,1503,300.0,5.0,0.1,300.0000000000002,5.000000000000002,0.10000000000000231,7.579122514774402e-16,3.552713678800501e-16,2.3037127760971998e-14,1.330926875277929e-14,4.59759246752788e-16,299.99999999980236,5.000000000000056,0.0999999999988762,-6.588152245967649e-13,1.1191048088221578e-14,-1.1238093788890069e-11,6.499459330016288e-12,3,5.975083067992477,0.2334351298505796,-0.07395154589065737,0.9454730839440657,-0.07783720257096988,0.9454730839440659,0.9999210442038162,0.0034456483957240338,0.04531663597470153,1.2811532391605958
perfect__low_effective_mass__chirp,perfect,low_effective_mass,chirp,1504,300.0,5.0,0.1,299.9999999999995,4.999999999999999,0.09999999999999964,-1.7053025658242404e-15,-1.7763568394002506e-16,-3.608224830031759e-15,2.3064328663741974e-15,1.0156220147697808e-15,299.9999999999213,4.999999999999696,0.0999999999999581,-2.6242711707406365e-13,-6.075140390748857e-14,-4.191091917959966e-13,2.8764053927337187e-13,3,2.9489437331409145,0.4541627334292145,-0.01918781736006216,0.7936871881919056,-0.02394650795177848,0.7936871881919058,1.0,0.004071701779218589,0.20108311498296536,12.037939025056193
perfect__low_effective_mass__multisine,perfect,low_effective_mass,multisine,1505,300.0,5.0,0.1,300.0000000000004,5.000000000000001,0.09999999999999876,1.3263464400855204e-15,1.7763568394002506e-16,-1.2490009027033011e-14,7.252380639272929e-15,2.6015380022898092e-15,299.99999999995373,4.999999999999675,0.09999999999997292,-1.5423514317565908e-13,-6.501466032204917e-14,-2.708944180085382e-13,1.8384701172024536e-13,3,2.173617973999632,0.5910665148066782,-0.008671619271636807,0.6506166123734198,-0.009066187793785768,0.6506166123734198,0.9088358012080359,0.003321246978744569,0.07935163148697792,6.232191959687562
perfect__high_effective_mass__ramp,perfect,high_effective_mass,ramp,1601,300.0,5.0,5.0,299.99999999999983,4.999999999999959,4.999999999999998,-5.684341886080802e-16,-8.171241461241152e-15,-3.552713678800501e-16,4.7335160360110155e-15,5.653807806241886e-16,299.9999999999804,5.000000000004732,4.999999999998665,-6.536993168992921e-14,9.464429240324534e-13,-2.6698643296185767e-13,5.690076718305132e-13,3,1.3330844293483048,0.848383401608553,-0.21093130186284054,0.1925197957898601,-0.04172613468097012,0.21093130186284054,1.0,0.003606788738011185,0.008071556338043167,0.031229934443247398
perfect__high_effective_mass__half_sine,perfect,high_effective_mass,half_sine,1602,300.0,5.0,5.0,299.99999999999983,5.0,4.9999999999999964,-5.684341886080802e-16,0.0,-7.105427357601002e-16,5.253533433540941e-16,2.2939900700234446e-16,299.9999999999365,4.9999999999997815,4.9999999999982085,-2.1164699622507517e-13,-4.3698378249246164e-14,-3.582911745070305e-13,2.415757748632497e-13,3,2.5687780098861066,0.5130355108440813,-0.010637331003343492,0.7367653157095795,-0.01437521642934599,0.7367653157095803,1.0,0.005035568138258957,0.018816071694032745,0.11175508339980715
perfect__high_effective_mass__sinusoid,perfect,high_effective_mass,sinusoid,1603,300.0,5.0,5.0,299.99999999999994,5.0,4.999999999999999,-1.8947806286936006e-16,0.0,-1.7763568394002506e-16,1.499515171842393e-16,1.6019510663725326e-16,299.99999999965524,5.000000000000598,4.999999999997126,-1.1491844513026686e-12,1.1954881529163685e-13,-5.748290732299211e-13,7.450604641646697e-13,3,4.679235834406813,0.2955411988366431,-0.06447105549726621,0.912589703941439,-0.06877201169210655,0.912589703941439,0.9999210442038162,0.004443302585117536,0.041764201189426906,0.4617920103884748
perfect__high_effective_mass__chirp,perfect,high_effective_mass,chirp,1604,300.0,5.0,5.0,300.0,5.000000000000003,5.0,0.0,5.329070518200751e-16,0.0,3.0767402982137023e-16,1.0932129695221302e-16,299.99999999990604,4.999999999999743,4.999999999998846,-3.1320723792305215e-13,-5.1336712658667236e-14,-2.3074875343809255e-13,2.2655331908641992e-13,3,2.621008282147843,0.5041220738829018,-0.00765863899156057,0.7458480255805341,-0.009968227622656844,0.7458480255805341,1.0,0.005425900217165503,0.050973747471328414,0.5298308082070303
perfect__high_effective_mass__multisine,perfect,high_effective_mass,multisine,1605,300.0,5.0,5.0,300.00000000000006,5.000000000000008,5.000000000000003,1.8947806286936006e-16,1.5987211554602255e-15,5.329070518200751e-16,9.790814053837008e-16,2.7713594726902117e-16,299.9999999998721,4.999999999999941,4.999999999998353,-4.263256414560601e-13,-1.1723955140041652e-14,-3.2933655802480645e-13,3.1110211192826145e-13,3,3.171292805216468,0.4252801249640685,-0.028756213851321485,0.8190871742658759,-0.027306273322028823,0.8190871742658759,0.9088358012080359,0.0030843320956877593,0.02446842808343552,0.2578683316071121
near_ideal__rigid_high_stiffness__ramp,near_ideal,rigid_high_stiffness,ramp,11101,2000.0,20.0,1.0,1999.9258958995533,18.452035793692005,0.37321868172674044,-3.705205022333757e-05,-0.07739821031539976,-0.6267813182732596,0.3646209471351705,0.004228297732632587,1999.9258958994074,18.45203579374575,0.3732186817266116,-3.705205029632452e-05,-0.07739821031271248,-0.6267813182733883,0.36462094713505416,3,1.3012369660798133,0.8641911013741728,-0.24948655173473233,0.056933467944052914,0.00975907380435048,0.2494865517347326,1.0,0.0005098636286815101,0.0009909298116196692,0.0218807770585408
