time_s,displacement_m,velocity_m_per_s,acceleration_m_per_s2,elastic_force_n,damping_force_n,raw_force_n,force_n,analytical_force_n,contact_active
0.0,0.0,0.0,0.024674011002723397,0.0,0.0,0.0,0.0,0.0,1.0
0.001,1.2336995354467195e-08,2.4673970415622163e-05,0.02467388924145975,6.1684976772335975e-06,0.0004934794083124432,0.0004996479059896768,0.0004996479059896768,0.0004996479059896768,1.0
0.002,4.934785965721167e-08,4.934769730911761e-05,0.02467352395887054,2.4673929828605834e-05,0.0009869539461823521,0.001011627876010958,0.001011627876010958,0.001011627876010958,1.0
0.003,1.1103222762542942e-07,7.402093716076307e-05,0.024672915158560963,5.5516113812714714e-05,0.0014804187432152613,0.001535934857027976,0.001535934857027976,0.001535934857027976,1.0
0.004,1.9738949045972065e-07,9.869344645564224e-05,0.024672062846539628,9.869474522986033e-05,0.001973868929112845,0.0020725636743427053,0.0020725636743427053,0.0020725636743427053,1.0
0.005,3.0841879584853074e-07,0.00012336498168604904,0.024670967031218512,0.00015420939792426538,0.0024672996337209807,0.002621509031645246,0.002621509031645246,0.002621509031645246,1.0
0.006,4.4411904797758695e-07,0.00014803529935389104,0.02466962772341287,0.00022205952398879347,0.0029607059870778206,0.003182765511066614,0.003182765511066614,0.003182765511066614,1.0
0.007,6.044889075398907e-07,0.00017270415597309268,0.024668044936341133,0.00030224445376994535,0.0034540831194618538,0.003756327573231799,0.003756327573231799,0.003756327573231799,1.0
0.008,7.895267917501503e-07,0.00019737130807199842,0.024666218685624762,0.00039476339587507514,0.003947426161439969,0.004342189557315044,0.004342189557315044,0.004342189557315044,1.0
0.009000000000000001,9.992308743586586e-07,0.00022203651219577548,0.024664148989288124,0.0004996154371793293,0.00444073024391551,0.004940345681094839,0.004940345681094839,0.004940345681094839,1.0
0.01,1.233599085671e-06,0.0002466995249088169,0.02466183586775828,0.0006167995428355,0.004933990498176338,0.005550790041011838,0.005550790041011838,0.005550790041011838,1.0
0.011,1.492629112567756e-06,0.00027136010279714406,0.024659279343864804,0.000746314556283878,0.005427202055942881,0.006173516612226759,0.006173516612226759,0.006173516612226759,1.0
0.012,1.7763183985269882e-06,0.00029601800247080925,0.02465647944283956,0.0008881591992634941,0.005920360049416185,0.006808519248679679,0.006808519248679679,0.006808519248679679,1.0
0.013000000000000001,2.0846641436497727e-06,0.0003206729805662973,0.024653436192316438,0.0010423320718248863,0.006413459611325946,0.007455791683150833,0.007455791683150833,0.007455791683150833,1.0
0.014,2.4176633046882334e-06,0.000345324793748928,0.024650149622331093,0.0012088316523441167,0.0069064958749785604,0.008115327527322677,0.008115327527322677,0.008115327527322677,1.0
0.015,2.7753125950749637e-06,0.0003699731987152577,0.024646619765320645,0.0013876562975374818,0.007399463974305154,0.008787120271842636,0.008787120271842636,0.008787120271842636,1.0
0.016,3.1576084849563315e-06,0.00039461795219548033,0.024642846656123357,0.0015788042424781656,0.007892359043909607,0.009471163286387772,0.009471163286387772,0.009471163286387772,1.0
0.017,3.5645472012255098e-06,0.0004192588109558285,0.024638830331978293,0.0017822736006127549,0.00838517621911657,0.010167449819729325,0.010167449819729325,0.010167449819729325,1.0
0.018000000000000002,3.9961247275624445e-06,0.0004438955318009742,0.024634570832524946,0.0019980623637812223,0.008877910636019485,0.010875972999800707,0.010875972999800707,0.010875972999800707,1.0
0.019,4.452336804470492e-06,0.0004685278715764288,0.024630068199802863,0.002226168402235246,0.009370557431528577,0.011596725833763822,0.011596725833763822,0.011596725833763822,1.0
0.02,4.933178929321102e-06,0.0004931555871709434,0.024625322478251208,0.0024665894646605513,0.009863111743418867,0.012329701208079418,0.012329701208079418,0.012329701208079418,1.0
0.021,5.438646356396293e-06,0.0005177784355189075,0.02462033371470834,0.0027193231781981464,0.01035556871037815,0.013074891888576296,0.013074891888576296,0.013074891888576296,1.0
0.022,5.968734096936934e-06,0.0005423961736027486,0.024615101958411337,0.002984367048468467,0.010847923472054972,0.01383229052052344,0.01383229052052344,0.01383229052052344,1.0
0.023,6.523436919190773e-06,0.0005670085584553306,0.024609627260995522,0.0032617184595953863,0.011340171169106612,0.014601889628701998,0.014601889628701998,0.014601889628701998,1.0
0.024,7.102749348465165e-06,0.0005916153471623511,0.02460390967649395,0.0035513746742325825,0.011832306943247023,0.015383681617479605,0.015383681617479605,0.015383681617479605,1.0
0.025,7.70666566718009e-06,0.0006162162968647401,0.024597949261336873,0.0038533328335900448,0.012324325937294801,0.016177658770884847,0.016177658770884847,0.016177658770884847,1.0
0.026000000000000002,8.335179914925328e-06,0.0006408111647610555,0.02459174607435118,0.004167589957462664,0.01281622329522111,0.016983813252683774,0.016983813252683774,0.016983813252683774,1.0
0.027,8.98828588851902e-06,0.0006653997081098805,0.02458530017675982,0.0044941429442595104,0.01330799416219761,0.01780213710645712,0.01780213710645712,0.01780213710645712,1.0
0.028,9.665977142068737e-06,0.0006899816842322193,0.024578611632181207,0.004832988571034369,0.013799633684644385,0.018632622255678754,0.018632622255678754,0.018632622255678754,1.0
0.029,1.0368246987035868e-05,0.0007145568505138918,0.024571680506628567,0.005184123493517934,0.014291137010277837,0.01947526050379577,0.01947526050379577,0.01947526050379577,1.0
0.03,1.109508849230001e-05,0.0007391249644079277,0.024564506868509316,0.005547544246150005,0.014782499288158554,0.020330043534308558,0.020330043534308558,0.020330043534308558,1.0
0.031,1.1846494484229198e-05,0.0007636857834369617,0.024557090788624367,0.005923247242114599,0.015273715668739234,0.021196962910853833,0.021196962910853833,0.021196962910853833,1.0
0.032,1.2622457546749566e-05,0.000788239065195626,0.024549432340167435,0.006311228773374783,0.01576478130391252,0.0220760100772873,0.0220760100772873,0.0220760100772873,1.0
0.033,1.342297002141918e-05,0.0008127845673529414,0.024541531598724308,0.00671148501070959,0.01625569134705883,0.022967176357768418,0.022967176357768418,0.022967176357768418,1.0
0.034,1.4248024007502691e-05,0.0008373220476547116,0.02453338864227212,0.0071240120037513455,0.016746440953094233,0.02387045295684558,0.02387045295684558,0.02387045295684558,1.0
0.035,1.5097611362050734e-05,0.0008618512639259121,0.024525003551178565,0.007548805681025367,0.017237025278518243,0.02478583095954361,0.02478583095954361,0.02478583095954361,1.0
0.036000000000000004,1.5971723699979013e-05,0.0008863719740730809,0.0245163764082011,0.007985861849989506,0.017727439481461618,0.025713301331451124,0.025713301331451124,0.025713301331451124,1.0
0.037,1.687035239415158e-05,0.0009108839360867085,0.02450750729848615,0.008435176197075789,0.01821767872173417,0.02665285491880996,0.02665285491880996,0.02665285491880996,1.0
0.038,1.7793488575465753e-05,0.0009353869080436256,0.024498396309568248,0.008896744287732877,0.01870773816087251,0.02760448244860539,0.02760448244860539,0.02760448244860539,1.0
0.039,1.8741123132940685e-05,0.0009598806481093913,0.02448904353136917,0.009370561566470342,0.019197612962187825,0.028568174528658168,0.028568174528658168,0.028568174528658168,1.0
0.04,1.9713246713805312e-05,0.0009843649145406799,0.024479449056197065,0.009856623356902657,0.019687298290813598,0.029543921647716256,0.029543921647716256,0.029543921647716256,1.0
0.041,2.0709849723592746e-05,0.001008839465687666,0.024469612978745527,0.010354924861796374,0.020176789313753322,0.030531714175549694,0.030531714175549694,0.030531714175549694,1.0
0.042,2.1730922326233526e-05,0.0010333040599964107,0.02445953539609267,0.010865461163116763,0.020666081199928216,0.03153154236304498,0.03153154236304498,0.03153154236304498,1.0
0.043000000000000003,2.2776454444153326e-05,0.0010577584560112448,0.02444921640770017,0.011388227222076663,0.021155169120224897,0.032543396342301564,0.032543396342301564,0.032543396342301564,1.0
0.044,2.384643575837203e-05,0.0010822024123771526,0.024438656115412273,0.011923217879186015,0.02164404824754305,0.03356726612672907,0.03356726612672907,0.03356726612672907,1.0
0.045,2.4940855708606158e-05,0.0011066356878421532,0.024427854623454804,0.012470427854303079,0.022132713756843062,0.03460314161114614,0.03460314161114614,0.03460314161114614,1.0
0.046,2.6059703493372665e-05,0.0011310580412596815,0.024416812038434123,0.013029851746686333,0.02262116082519363,0.03565101257187996,0.03565101257187996,0.03565101257187996,1.0
0.047,2.7202968070095537e-05,0.0011554692315909692,0.02440552846933609,0.013601484035047769,0.023109384631819385,0.03671086866686715,0.03671086866686715,0.03671086866686715,1.0
0.048,2.8370638155214843e-05,0.001179869017907423,0.024394004027524976,0.014185319077607422,0.02359738035814846,0.03778269943575588,0.03778269943575588,0.03778269943575588,1.0
0.049,2.9562702224298634e-05,0.0012042571593930023,0.024382238826742366,0.014781351112149317,0.024085143187860047,0.038866494300009366,0.038866494300009366,0.038866494300009366,1.0
0.05,3.0779148512155574e-05,0.0012286334153465966,0.024370232983106043,0.015389574256077787,0.02457266830693193,0.03996224256300972,0.03996224256300972,0.03996224256300972,1.0
0.051000000000000004,3.201996501295212e-05,0.001252997545184401,0.024357986615108837,0.01600998250647606,0.025059950903688018,0.04106993341016408,0.04106993341016408,0.04106993341016408,1.0
