target_id,population_stratum,stiffness_n_per_m,damping_n_s_per_m,effective_mass_kg,actual_risk_class,actual_severity_ratio
broad_s10101_c00,broad,143.04717412532943,5.487171358586207,0.4470349158460922,CAUTION,1.2238706800189907
broad_s10101_c01,broad,467.98984003570746,0.3350074970440637,2.960576064923877,UNSAFE,1.5
broad_s10101_c02,broad,2174.705133112494,0.7119152397093353,0.27294955401425636,SAFE,0.07691561347306443
broad_s10101_c03,broad,1613.772112972282,36.05596719586448,0.13616019140412616,SAFE,0.10327769660097554
broad_s10101_c04,broad,190.28816951202137,14.253819009155576,5.210198024932059,CAUTION,1.2141216809406103
broad_s10101_c05,broad,311.4064594790586,19.452596436194813,1.3746225135015238,SAFE,0.5639398101563308
broad_s10101_c06,broad,1076.1448454170493,0.990967774049886,1.8617895537949811,SAFE,0.1650929380080883
broad_s10101_c07,broad,77.85651521868056,6.844592213363371,0.14664461322875882,UNSAFE,2.140690039857797
broad_s10101_c08,broad,378.1508039261755,47.80383686217052,0.28600766099017955,SAFE,0.4407412728884291
broad_s10101_c09,broad,108.21178069208071,1.9469798247472623,3.3910123805603383,UNSAFE,3.149434810789814
broad_s10101_c10,broad,610.3333759892284,2.796250791343636,1.0046765707517056,SAFE,0.2870130510163811
broad_s10101_c11,broad,891.6806954171403,1.2474765801684577,0.6408254698244494,SAFE,0.19127966966232854
broad_s10102_c00,broad,526.5981186727116,3.0006446279732644,4.533383260301722,UNSAFE,1.5
broad_s10102_c01,broad,2214.210337814499,14.225328397888926,0.37205747065773437,SAFE,0.07549132179058615
broad_s10102_c02,broad,597.9657194114006,10.027190023040754,0.8419095614578954,SAFE,0.2864050786452298
broad_s10102_c03,broad,119.93901388956003,37.53429327486309,0.2535996051500851,CAUTION,1.389558125939325
broad_s10102_c04,broad,148.781629011151,22.523837976474788,2.6835337320570107,CAUTION,1.215324780178594
broad_s10102_c05,broad,412.123395828697,0.8987676392805214,1.5244750014723483,SAFE,0.9450000000000001
broad_s10102_c06,broad,87.84548571942577,50.97446898972028,1.7220582909502338,UNSAFE,1.8919844131297208
broad_s10102_c07,broad,884.9288937754088,5.445268462572415,0.18266608116607658,SAFE,0.18904012397518377
broad_s10102_c08,broad,311.08758329195814,1.8579677333805806,0.6236130463485333,SAFE,0.5616298681607133
broad_s10102_c09,broad,192.85547333214586,0.4156727297468984,0.49409701792923416,SAFE,0.8854027685722181
broad_s10102_c10,broad,1269.491074545907,1.137337606654628,3.9111670321436893,SAFE,0.13482106871939972
broad_s10102_c11,broad,1417.513887114259,0.5770860097656743,0.1060234775349508,SAFE,0.11776929028131936
broad_s10103_c00,broad,780.0079972974688,47.73595439173119,4.147497890874971,SAFE,0.2302445565155498
broad_s10103_c01,broad,335.0935866328224,8.5001658268538,0.3039855182288784,SAFE,0.5033766590811173
broad_s10103_c02,broad,86.02898062052748,38.2332838266388,0.46108512564204823,UNSAFE,1.9362187782872557
broad_s10103_c03,broad,216.19624144095854,0.5278684765401742,2.8923568949662086,UNSAFE,2.029470508891388
broad_s10103_c04,broad,1121.5158460550233,1.8744823661039463,5.716951449726048,UNSAFE,1.466
broad_s10103_c05,broad,1954.8842709774704,4.275384267311715,1.455052795466505,SAFE,0.0870853204077986
broad_s10103_c06,broad,270.5183088227645,21.739057955374847,1.5513879472746868,SAFE,0.649091609938199
broad_s10103_c07,broad,541.2618023981498,14.846804451357588,0.18620779709888033,SAFE,0.30825276201315194
broad_s10103_c08,broad,110.1753934796282,0.3872202702609288,0.822631896878118,UNSAFE,2.0878207427843996
broad_s10103_c09,broad,178.91971418290927,1.3064764767441241,0.6107757221128473,SAFE,0.9892028922527188
broad_s10103_c10,broad,1625.5748273639233,1.0541281001461527,0.25168338513189614,SAFE,0.10276680423313275
broad_s10103_c11,broad,764.3389968151295,2.8688825667884688,0.10867546444264799,SAFE,0.21863605861092603
broad_s10104_c00,broad,521.7162437912152,0.917520367095913,0.31891014139115553,SAFE,0.3242504202042344
broad_s10104_c01,broad,184.8433611854238,6.3436721925264346,0.12338756148226224,SAFE,0.9048628603780109
broad_s10104_c02,broad,647.8737794989986,44.209469244872636,0.18197383596195757,SAFE,0.2572517548025324
broad_s10104_c03,broad,1325.448254453851,38.521914370645355,5.38091434374256,SAFE,0.13696787149270942
broad_s10104_c04,broad,161.19714185807092,3.258556414348325,0.6149037737619579,CAUTION,1.1228186256834667
broad_s10104_c05,broad,343.2823740904447,10.026351799964573,2.5979851527451694,SAFE,0.6047491783429905
broad_s10104_c06,broad,95.88678735051008,10.460068688001867,0.24849733749318345,UNSAFE,1.7381609215607916
broad_s10104_c07,broad,1621.9248760779337,0.5385441589659734,3.34428997585601,SAFE,0.1091006945973825
broad_s10104_c08,broad,1015.6043015811664,0.3052820892323566,1.1124521308499915,SAFE,0.16619054829372568
broad_s10104_c09,broad,261.36967231296643,17.593903534329616,0.4541648187211824,SAFE,0.6391621250587862
broad_s10104_c10,broad,132.81248655315085,2.4628687958152775,1.5873015872551561,UNSAFE,1.8189004258084907
broad_s10104_c11,broad,2095.0245532018384,1.163072834726511,1.0208750236813664,SAFE,0.08002562373579077
broad_s10105_c00,broad,377.69051354944156,6.767858217006179,0.16296913214402495,SAFE,0.443738516807962
