noise_regime,stratum,false_safe_count,non_safe_count,confidence_level,two_sided_lower,two_sided_upper,one_sided_upper
low,overall,0,521,0.95,0.0,0.007055375973066881,0.005733466560587819
low,broad,0,321,0.95,0.0,0.011426057369519968,0.009289086677389258
low,boundary,0,200,0.95,0.0,0.018275340355136244,0.014867039231272083
nominal,overall,1,521,0.95,4.85934603442586e-05,0.010647331816781062,0.009072656536444236
nominal,broad,1,321,0.95,7.886856567465724e-05,0.017234048376163182,0.014692492178049759
nominal,boundary,0,200,0.95,0.0,0.018275340355136244,0.014867039231272083
high,overall,2,521,0.95,0.0004652316104043787,0.013797606490045066,0.012034334981246559
high,broad,1,321,0.95,7.886856567465724e-05,0.017234048376163182,0.014692492178049759
high,boundary,1,200,0.95,0.00012658102786701866,0.02754189845720526,0.023498470434950344
