observation_duration_s,noise_regime,feature_set,outcome,trial_count,median_absolute_error,p95_absolute_error,median_abs_relative_error,p95_abs_relative_error,upper_bound_coverage
0.0,low,chirp_only,peak_displacement_m,240,0.00022582744386692808,0.0024393573998932666,0.04645120871845104,0.16409271156537028,0.9708333333333333
0.0,low,chirp_only,peak_velocity_m_per_s,240,0.0005367184710824251,0.00646996194292551,0.04244264806740509,0.16556381097864406,0.975
0.0,low,chirp_only,late_hold_oscillation_rms_m,240,2.562144481322362e-07,0.001680864448725884,0.8726138203800291,16.973988128554094,0.9208333333333333
0.0,low,chirp_only,hold_settling_time_s,240,0.07071343198189028,0.9741129984090243,0.2471449827832286,282683064.8454642,0.9666666666666667
0.0,low,ringdown_only,peak_displacement_m,240,0.003751497129321067,0.021347657475819123,0.7282409136327199,4.17118961026977,0.95
0.0,low,ringdown_only,peak_velocity_m_per_s,240,0.011189462596734699,0.06856678252964175,0.6742042074110781,3.8210137263099817,0.95
0.0,low,ringdown_only,late_hold_oscillation_rms_m,240,3.575443506907424e-07,0.0026865344559669226,0.9999227298705509,357.54435069074236,0.9166666666666666
0.0,low,ringdown_only,hold_settling_time_s,240,0.41404706336093045,2.5859529366390697,414047063.36093044,414047063.36093044,1.0
0.0,low,chirp_ringdown,peak_displacement_m,240,0.00022582744386711023,0.002439357399893221,0.04645120871844691,0.16409271156536784,0.9708333333333333
0.0,low,chirp_ringdown,peak_velocity_m_per_s,240,0.0005367184710825135,0.006469961942925249,0.04244264806740136,0.1655638109786453,0.975
0.0,low,chirp_ringdown,late_hold_oscillation_rms_m,240,2.562144481322125e-07,0.0016808644487259724,0.8726138203799433,16.973988128554698,0.9208333333333333
0.0,low,chirp_ringdown,hold_settling_time_s,240,0.0707134319818875,0.9741129984090171,0.24714498278322805,282683064.84546435,0.9666666666666667
0.0,low,physical_chirp_ringdown,peak_displacement_m,240,0.00021218503527925016,0.0023337589603553807,0.047495596225577995,0.15831450311589051,0.9666666666666667
0.0,low,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0005577204204424866,0.006173734956799799,0.041520103926483254,0.1701685874476158,0.975
0.0,low,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,2.309826412720976e-07,0.0027845640233052334,0.8105065119076432,20.705354335873796,0.9416666666666667
0.0,low,physical_chirp_ringdown,hold_settling_time_s,240,0.0693763134918031,1.0403146921847506,0.25265426869600055,289625599.7123072,0.975
0.0,nominal,chirp_only,peak_displacement_m,240,0.0002019722636251815,0.002929618191664315,0.04816535533467865,0.16618433967590296,0.9625
0.0,nominal,chirp_only,peak_velocity_m_per_s,240,0.00041663747718044064,0.007083586648864829,0.038978467878216655,0.15778580833714376,0.9666666666666667
0.0,nominal,chirp_only,late_hold_oscillation_rms_m,240,3.185148817448692e-07,0.0020591496965017653,0.9141261800079903,18.420168649648073,0.9041666666666667
0.0,nominal,chirp_only,hold_settling_time_s,240,0.0792782678771082,0.9394175435350767,0.294348732367561,286312641.96321917,0.9708333333333333
0.0,nominal,ringdown_only,peak_displacement_m,240,0.003751497129321067,0.021347657475819123,0.7282409136327199,4.17118961026977,0.95
0.0,nominal,ringdown_only,peak_velocity_m_per_s,240,0.011189462596734699,0.06856678252964175,0.6742042074110781,3.8210137263099817,0.95
0.0,nominal,ringdown_only,late_hold_oscillation_rms_m,240,3.575443506907424e-07,0.0026865344559669226,0.9999227298705509,357.54435069074236,0.9166666666666666
0.0,nominal,ringdown_only,hold_settling_time_s,240,0.41404706336093045,2.5859529366390697,414047063.36093044,414047063.36093044,1.0
0.0,nominal,chirp_ringdown,peak_displacement_m,240,0.00020197226362521467,0.0029296181916641053,0.04816535533468906,0.16618433967587715,0.9625
