predictor,feature_set,noise_regime,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_unsafe_rate,contact_loss_accuracy,contact_loss_recall,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,brier_score,expected_calibration_error
logistic,combined_task,high,240,0.7,0.025974025974025976,0.008333333333333333,0.024539877300613498,0.8375,0.4411764705882353,0.9834710743801653,0.7300613496932515,0.2619047619047619,0.8461538461538461,0.7714285714285715,0.5294117647058824,119,40,4,0,22,4,2,22,27,0.2598690281666689,0.033450496569369964
logistic,combined_task,low,240,0.7,0.025974025974025976,0.008333333333333333,0.024539877300613498,0.8416666666666667,0.47058823529411764,0.9833333333333333,0.7239263803680982,0.2619047619047619,0.8461538461538461,0.7777777777777778,0.5490196078431373,118,41,4,0,22,4,2,21,28,0.2569779584700203,0.041840020059908216
logistic,combined_task,nominal,240,0.7125,0.025974025974025976,0.008333333333333333,0.03067484662576687,0.8375,0.5,0.9834710743801653,0.7300613496932515,0.275,0.8461538461538461,0.7692307692307693,0.5882352941176471,119,39,5,0,22,4,2,19,30,0.25924337583664975,0.045781674250291726
logistic,frequency_response,high,240,0.675,0.0,0.0,0.012269938650306749,0.8458333333333333,0.5588235294117647,1.0,0.6687116564417178,0.2222222222222222,0.7692307692307693,0.8048780487804879,0.6470588235294118,109,52,2,0,20,6,0,18,33,0.26324429061988863,0.06887204487978732
logistic,frequency_response,low,240,0.6666666666666666,0.0,0.0,0.012269938650306749,0.8458333333333333,0.5294117647058824,1.0,0.6687116564417178,0.21739130434782608,0.7692307692307693,0.7948717948717948,0.6078431372549019,109,52,2,0,20,6,0,20,31,0.2644298225547056,0.05183551390222901
logistic,frequency_response,nominal,240,0.6833333333333333,0.0,0.0,0.012269938650306749,0.8416666666666667,0.5294117647058824,1.0,0.6871165644171779,0.22727272727272727,0.7692307692307693,0.8,0.6274509803921569,112,49,2,0,20,6,0,19,32,0.26359818238939836,0.06950044501823147
logistic,full_parameters,high,240,0.5833333333333334,0.05194805194805195,0.016666666666666666,0.024539877300613498,0.8583333333333333,0.5588235294117647,0.9583333333333334,0.5644171779141104,0.18867924528301888,0.7692307692307693,0.7368421052631579,0.5490196078431373,92,67,4,0,20,6,4,19,28,0.33666677797148403,0.047224213066652476
logistic,full_parameters,low,240,0.6125,0.0,0.0,0.024539877300613498,0.85,0.7058823529411765,1.0,0.558282208588957,0.18181818181818182,0.6923076923076923,0.76,0.7450980392156863,91,68,4,0,18,8,0,13,38,0.3134650729247419,0.06496142362482557
logistic,full_parameters,nominal,240,0.6,0.025974025974025976,0.008333333333333333,0.0,0.8666666666666667,0.6176470588235294,0.9787234042553191,0.5644171779141104,0.1792452830188679,0.7307692307692307,0.825,0.6470588235294118,92,71,0,0,19,7,2,16,33,0.3164071198750939,0.08882487214101523
logistic,stiffness_only,high,240,0.45,0.05194805194805195,0.016666666666666666,0.0,0.8583333333333333,0.0,0.9540229885057471,0.50920245398773,0.16339869281045752,0.9615384615384616,0.0,0.0,83,80,0,1,25,0,3,48,0,0.3863189652861516,0.06576779474089983
logistic,stiffness_only,low,240,0.45416666666666666,0.05194805194805195,0.016666666666666666,0.0,0.8583333333333333,0.0,0.9545454545454546,0.5153374233128835,0.16447368421052633,0.9615384615384616,0.0,0.0,84,79,0,1,25,0,3,48,0,0.3848238092016981,0.05921664409741536
