strategy,probe_index,trial_count,full_vector_success_probability,median_cumulative_energy_j,median_cumulative_force_dose_n2_s,stiffness_median_abs_relative_error,stiffness_p95_abs_relative_error,stiffness_median_relative_standard_error,damping_median_abs_relative_error,damping_p95_abs_relative_error,damping_median_relative_standard_error,effective_mass_median_abs_relative_error,effective_mass_p95_abs_relative_error,effective_mass_median_relative_standard_error
predefined_multistage,1,120,0.6083333333333333,0.014387895176353463,1.4790070749103017,0.018374470606395073,0.054607313522640824,0.05794743988794676,0.08391428349112409,0.7666159849763002,0.3565719898303056,0.13040579677270325,0.5060789775138134,0.19049093059299377
predefined_multistage,2,120,0.8083333333333333,0.04338524328623386,2.960768791164488,0.030028190392995195,0.06289797808473552,0.0463332927816886,0.12390244415187163,0.4038582566284339,0.2948355999011957,0.12899039527234007,0.2693545136900813,0.04186187403798762
predefined_multistage,3,120,0.5916666666666667,0.06303213624495141,4.460687625385932,0.04634914515282882,0.08406773667179314,0.06189496433791987,0.2197819002746378,0.5011473784851945,0.24440533169639375,0.14473408672487365,0.32958724353343605,0.04293242760229928
repeated_identical_chirp,1,120,0.9083333333333333,0.024096591685138745,1.4817617162541863,0.032763095068695666,0.05492218289006165,0.06749652621384711,0.10073275675587201,0.30922099788490826,0.3170806498729336,0.11808944029819976,0.24448853271982376,0.07047554153471056
repeated_identical_chirp,2,120,0.75,0.04724797703479508,2.9635234325083726,0.03220671276670504,0.050521148808251634,0.04751212833131929,0.10109253468858553,0.49909792538870074,0.2778801502991456,0.12555478253516172,0.23594620542872058,0.03803436688261068
repeated_identical_chirp,3,120,0.7583333333333333,0.06979595618460976,4.445285148762559,0.03267984914424216,0.049163776371067856,0.0394477947758601,0.10218238188636661,0.6493072404743597,0.18580540503086695,0.12322181204608901,0.22134304421809858,0.03778876982951494
single_fixed_chirp,1,120,0.9083333333333333,0.024096591685138745,1.4817617162541863,0.032763095068695666,0.05492218289006165,0.06749652621384711,0.10073275675587201,0.30922099788490826,0.3170806498729336,0.11808944029819976,0.24448853271982376,0.07047554153471056
single_multisine,1,120,0.3416666666666667,0.00547266223214923,0.375,0.10195649426888206,0.16049046162863198,0.12572962610851585,0.417794764175484,3.158034091932184,0.7259004728050651,0.09337239535810245,0.20490785053108965,0.060675445944168696
uncertainty_driven,1,120,0.9083333333333333,0.024096591685138745,1.4817617162541863,0.032763095068695666,0.05492218289006165,0.06749652621384711,0.10073275675587201,0.30922099788490826,0.3170806498729336,0.11808944029819976,0.24448853271982376,0.07047554153471056
uncertainty_driven,2,79,0.46835443037974683,0.037121672218945745,2.9635234325083726,0.04747084229232617,0.13370148689361136,0.07599382930598561,0.37345355428834714,0.5096652492986808,0.6644362915352198,0.095044070676372,0.23635659032526105,0.07527191658731078
uncertainty_driven,3,60,0.31666666666666665,0.05244219698324167,4.442530507418674,0.052333701123892996,0.2196990648502149,0.10473709998084213,0.4407844793477223,0.5478159812679,0.7721063959469502,0.10517784317336432,0.22037890124535955,0.04588029772127611
