target,probe_name,probe_type,stiffness_relative_information,damping_relative_information,effective_mass_relative_information,force_squared_dose_n2_s,absolute_input_energy_j,peak_target_displacement_m,peak_target_acceleration_m_per_s2,stiffness_information_per_force_dose,damping_information_per_force_dose,effective_mass_information_per_force_dose
rigid_high_stiffness,low_chirp,chirp,153.71466284207028,0.7699620298002954,0.7476198196175827,1.4790070749103017,0.0020878226259354636,0.0005687325649182168,0.1984972133233338,103.93098548997321,0.5205938787324542,0.505487656076915
rigid_high_stiffness,low_mid_chirp,chirp,157.4732920053733,6.106081665723041,13.356465687910248,1.4817617162541863,0.005178439507582096,0.0006868801984448652,0.6553485592447745,106.2743694063424,4.120825635284252,9.013909282036705
rigid_high_stiffness,high_chirp,chirp,76.07168953822683,14.37450397836208,52.463781633707,1.4999188342214445,0.009668677955180068,0.0007449371748183313,1.5050394312758997,50.7172040263852,9.583521221548887,34.97774708652093
rigid_high_stiffness,wide_chirp,chirp,113.66054142461046,12.7054321839561,47.07026022466351,1.4782368258779062,0.008125428253259645,0.0007362604648714058,1.5020455898720937,76.88926390878464,8.594990979480237,31.842164530510242
rigid_high_stiffness,low_multisine,multisine,40.911105921054656,0.2890981439176479,0.1733226188685135,0.37757220110099193,0.0007623593928768315,0.00040257400678947144,0.11339855888324465,108.35306678234998,0.765676453601839,0.45904496772566594
rigid_high_stiffness,broad_multisine,multisine,38.564886581785615,2.7666356042943345,10.235528807475587,0.375,0.002864931978306371,0.0005580852018354901,0.6775735327336398,102.8396975514283,7.377694944784892,27.294743486601565
rigid_high_stiffness,high_multisine,multisine,20.488320002680194,4.008069195641705,11.663026398490308,0.37500000000000006,0.0026961149767003156,0.0004356951247049955,0.7944642055065332,54.63552000714718,10.688184521711213,31.10140372930748
compliant,low_chirp,chirp,131.25287008643997,24.243981869167254,44.817160537656974,1.4790070749103017,0.04343647389976313,0.013205199209343977,1.2547944276793623,88.74390955459097,16.392066191189514,30.30219482917283
compliant,low_mid_chirp,chirp,118.1926894150386,22.997854438234853,88.46774811312899,1.4817617162541863,0.03434119174675463,0.012616797115362607,1.3086568047389948,79.76497713399111,15.52061588982889,59.70443637643081
compliant,high_chirp,chirp,58.69470124039219,0.5040669659652285,35.77655062433784,1.4999188342214445,0.006835802850880961,0.005066310821310712,0.8294749090850871,39.13191827533692,0.33606282851089875,23.852324411212688
compliant,wide_chirp,chirp,83.78320204176725,8.553896738698462,64.86623784540978,1.4782368258779062,0.01703292648026132,0.011324348540792497,1.3008950273407813,56.677793825092586,5.786553675943238,43.88081578666297
compliant,low_multisine,multisine,34.36970335732005,12.314371882726313,21.565750471222735,0.37757220110099193,0.015355670835383889,0.009259699642658116,0.6427649251098717,91.02816165252308,32.61461475929077,57.1168915728899
compliant,broad_multisine,multisine,25.60326066126043,3.1553230768888767,21.35352387942347,0.375,0.008164180240606635,0.0051770249480227746,0.6817176004238401,68.27536176336115,8.414194871703671,56.942730345129256
compliant,high_multisine,multisine,11.005619170905987,0.4270251254191313,14.533695434995735,0.37500000000000006,0.0022779455520457984,0.0021690822765256658,0.7600190150886647,29.34831778908263,1.13873366778435,38.75652115998862
lightly_damped_flexible,low_chirp,chirp,156.77688089476865,0.17821482481507733,75.55099687881895,1.4790070749103017,0.02656173920282192,0.007546674294216467,2.0877762984522565,106.00144080059712,0.12049626255228403,51.082241701515144
lightly_damped_flexible,low_mid_chirp,chirp,169.67564612563493,1.0987565439581197,135.23319050460378,1.4817617162541863,0.07374957745141729,0.014366750150007601,4.408982687049486,114.50940071158392,0.7415204023057884,91.26514001621393
lightly_damped_flexible,high_chirp,chirp,77.32146528009156,0.03345248970872102,59.54872113671803,1.4999188342214445,0.015171156621176355,0.0032535146979227976,1.2030052291873092,51.550432940744045,0.022302866625503133,39.70129568219449
lightly_damped_flexible,wide_chirp,chirp,145.69539496676018,0.5783759333717864,101.72970529411069,1.4782368258779062,0.05203377675545307,0.008133213728599853,3.1234401004166457,98.5602526037961,0.39126067166422823,68.81827290001026
lightly_damped_flexible,low_multisine,multisine,43.48629477701931,0.0927554967783435,21.927758540369318,0.37757220110099193,0.01129675803608218,0.004148445666486943,0.909970558652364,115.17345464050125,0.2456629394533564,58.07566996836227
lightly_damped_flexible,broad_multisine,multisine,40.922130233401035,0.02953040989748824,21.9355112872518,0.375,0.008080392485992089,0.002929480123912779,0.8780492674099619,109.12568062240275,0.07874775972663531,58.4946967660048
lightly_damped_flexible,high_multisine,multisine,23.304048852664888,0.07603365709274179,22.078078062380236,0.37500000000000006,0.007749915776715773,0.0028768576070895475,1.5147478033147643,62.14413027377302,0.20275641891397808,58.874874833013955
high_damping,low_chirp,chirp,99.37651292451362,50.61351605423696,1.6387240478951703,1.4790070749103017,0.007654776370094053,0.003005973872774088,0.19149978773053022,67.19137089357099,34.22128055560962,1.1079893231711249
high_damping,low_mid_chirp,chirp,77.41137890098132,65.95734249514041,9.429408995477477,1.4817617162541863,0.008488262176386017,0.0026537994025806443,0.4806625054247257,52.24279859023022,44.51278621361403,6.3636473341439235
high_damping,high_chirp,chirp,53.16463384763933,15.70765609001354,19.736772229684647,1.4999188342214445,0.005207736477639466,0.0012333795723191152,0.6189676595247904,35.445007179495306,10.472337390287413,13.158560169643657
high_damping,wide_chirp,chirp,63.69242008958821,35.38731258922787,17.50706352631309,1.4782368258779062,0.006342332458836597,0.002222430105875599,0.6196771909108961,43.086749683537406,23.93886552529348,11.843206189857884
high_damping,low_multisine,multisine,24.38505764756149,18.80356036904538,0.6877901640616445,0.37757220110099193,0.002518126160221717,0.0018505487366731682,0.1085550429469654,64.58382681896394,49.80123090157227,1.8216122957571137
high_damping,broad_multisine,multisine,20.26376232999918,11.906518758664355,4.347916629656519,0.375,0.002106042315604027,0.0012762607225418417,0.3420519706512723,54.03669954666449,31.75071668977161,11.594444345750716
high_damping,high_multisine,multisine,10.118698998297962,8.131619661253861,5.314633728126196,0.37500000000000006,0.0017108299046079873,0.0006661834721446088,0.47549370698826343,26.98319732879456,21.68431909667696,14.172356608336521
low_effective_mass,low_chirp,chirp,146.55178298001363,1.7829828185496424,0.20912008752658678,1.4790070749103017,0.012793602627475628,0.003432852045859272,1.2144681582479746,99.0879526312622,1.205526903012128,0.14139221581429515
low_effective_mass,low_mid_chirp,chirp,137.93222399329244,9.986489759272175,3.3680237107287123,1.4817617162541863,0.03038558642007456,0.0036867473452574327,3.7293287208873904,93.08664306834547,6.739605733989054,2.2729860501747168
low_effective_mass,high_chirp,chirp,66.91713621629681,22.760473568003853,24.66666396623346,1.4999188342214445,0.06279305059056955,0.0036046709471770477,8.994206115121298,44.61383822214031,15.174470143791494,16.445332509633474
low_effective_mass,wide_chirp,chirp,100.66789644493345,20.248161469302456,19.695185458519596,1.4782368258779062,0.05219621875437157,0.0036600157463141433,8.972481469386649,68.0999787602694,13.697508487706175,13.32343039608885
low_effective_mass,low_multisine,multisine,37.33762874869169,0.7034590648304492,0.052079334092990336,0.37757220110099193,0.004795755466322378,0.002622697246589394,0.7255523854111685,98.88871225110329,1.8631113804967065,0.13793211984655698
low_effective_mass,broad_multisine,multisine,34.19901694323522,5.251782169848938,4.463678236600923,0.375,0.01751499748182369,0.0032394741650831364,3.999146443782805,91.19737851529392,14.004752452930502,11.903141964269127
low_effective_mass,high_multisine,multisine,18.37273576552662,5.835271923336419,5.278134422029276,0.37500000000000006,0.016083234667246017,0.0024795159721157163,5.543039131094029,48.993962041404316,15.560725128897117,14.0750251254114
high_effective_mass,low_chirp,chirp,141.1979899922627,4.890436171114844,84.31058731676681,1.4790070749103017,0.015982187725231297,0.0065686849902180265,0.43814812191763003,95.46809639218665,3.306567124711988,57.004857344499214
high_effective_mass,low_mid_chirp,chirp,145.67033689905762,5.743165773237973,129.06727529873893,1.4817617162541863,0.017807596950202932,0.00598127602599601,0.37647592614465936,98.30888144910665,3.875903736908783,87.10393437955331
high_effective_mass,high_chirp,chirp,67.06388506554171,0.1662882931682714,40.48205712615019,1.4999188342214445,0.0029780777670225115,0.002053007381784662,0.18805536955620883,44.711676082360974,0.11086486106735625,26.989498499872504
high_effective_mass,wide_chirp,chirp,105.25256931920742,1.5997473358015355,86.8935669721776,1.4782368258779062,0.010019435843159744,0.004152456133726031,0.2550748892357467,71.20142556095452,1.0821996230891255,58.78189844213399
