observation_duration_s,noise_regime,feature_set,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_safe_count,false_unsafe_rate,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe
0.0,low,chirp_only,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43
0.0,low,ringdown_only,240,0.2,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0,0,158,0,0,34,0,0,48
0.0,low,chirp_ringdown,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43
0.0,low,physical_chirp_ringdown,240,0.875,0.0,0.0,0,0.012658227848101266,1.0,0.9113924050632911,0.575,0.6764705882352942,0.7678571428571429,0.8958333333333334,144,12,2,0,23,11,0,5,43
0.0,nominal,chirp_only,240,0.8916666666666667,0.024390243902439025,0.008333333333333333,2,0.012658227848101266,0.9864864864864865,0.9240506329113924,0.6578947368421053,0.7352941176470589,0.7962962962962963,0.8958333333333334,146,10,2,0,25,9,2,3,43
0.0,nominal,ringdown_only,240,0.2,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0,0,158,0,0,34,0,0,48
0.0,nominal,chirp_ringdown,240,0.8916666666666667,0.024390243902439025,0.008333333333333333,2,0.012658227848101266,0.9864864864864865,0.9240506329113924,0.6578947368421053,0.7352941176470589,0.7962962962962963,0.8958333333333334,146,10,2,0,25,9,2,3,43
0.0,nominal,physical_chirp_ringdown,240,0.8875,0.0,0.0,0,0.012658227848101266,1.0,0.9240506329113924,0.6153846153846154,0.7058823529411765,0.7818181818181819,0.8958333333333334,146,10,2,0,24,10,0,5,43
0.0,high,chirp_only,240,0.8791666666666667,0.036585365853658534,0.0125,3,0.0189873417721519,0.9797297297297297,0.9177215189873418,0.6571428571428571,0.6764705882352942,0.7543859649122807,0.8958333333333334,145,10,3,0,23,11,3,2,43
0.0,high,ringdown_only,240,0.2,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0,0,158,0,0,34,0,0,48
0.0,high,chirp_ringdown,240,0.8791666666666667,0.036585365853658534,0.0125,3,0.0189873417721519,0.9797297297297297,0.9177215189873418,0.6571428571428571,0.6764705882352942,0.7543859649122807,0.8958333333333334,145,10,3,0,23,11,3,2,43
0.0,high,physical_chirp_ringdown,240,0.8666666666666667,0.012195121951219513,0.004166666666666667,1,0.0189873417721519,0.993006993006993,0.8987341772151899,0.575,0.6764705882352942,0.7543859649122807,0.8958333333333334,142,13,3,0,23,11,1,4,43
0.25,low,chirp_only,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43
0.25,low,ringdown_only,240,0.5166666666666667,0.024390243902439025,0.008333333333333333,2,0.2911392405063291,0.9746835443037974,0.4873417721518987,0.07142857142857142,0.08823529411764706,0.3697478991596639,0.9166666666666666,77,35,46,2,3,29,0,4,44
0.25,low,chirp_ringdown,240,0.8791666666666667,0.024390243902439025,0.008333333333333333,2,0.0189873417721519,0.9863013698630136,0.9113924050632911,0.631578947368421,0.7058823529411765,0.7678571428571429,0.8958333333333334,144,11,3,0,24,10,2,3,43
0.25,low,physical_chirp_ringdown,240,0.875,0.024390243902439025,0.008333333333333333,2,0.0189873417721519,0.9863013698630136,0.9113924050632911,0.6216216216216216,0.6764705882352942,0.7543859649122807,0.8958333333333334,144,11,3,0,23,11,2,3,43
0.25,nominal,chirp_only,240,0.8916666666666667,0.024390243902439025,0.008333333333333333,2,0.012658227848101266,0.9864864864864865,0.9240506329113924,0.6578947368421053,0.7352941176470589,0.7962962962962963,0.8958333333333334,146,10,2,0,25,9,2,3,43
0.25,nominal,ringdown_only,240,0.5,0.036585365853658534,0.0125,3,0.27848101265822783,0.9605263157894737,0.4620253164556962,0.043478260869565216,0.058823529411764705,0.3813559322033898,0.9375,73,41,44,3,2,29,0,3,45
0.25,nominal,chirp_ringdown,240,0.8791666666666667,0.024390243902439025,0.008333333333333333,2,0.0189873417721519,0.9863013698630136,0.9113924050632911,0.631578947368421,0.7058823529411765,0.7678571428571429,0.8958333333333334,144,11,3,0,24,10,2,3,43
0.25,nominal,physical_chirp_ringdown,240,0.8833333333333333,0.024390243902439025,0.008333333333333333,2,0.0189873417721519,0.9863945578231292,0.9177215189873418,0.6486486486486487,0.7058823529411765,0.7678571428571429,0.8958333333333334,145,10,3,0,24,10,2,3,43
0.25,high,chirp_only,240,0.8791666666666667,0.036585365853658534,0.0125,3,0.0189873417721519,0.9797297297297297,0.9177215189873418,0.6571428571428571,0.6764705882352942,0.7543859649122807,0.8958333333333334,145,10,3,0,23,11,3,2,43
0.25,high,ringdown_only,240,0.5458333333333333,0.012195121951219513,0.004166666666666667,1,0.2468354430379747,0.9880952380952381,0.5253164556962026,0.07142857142857142,0.08823529411764706,0.39473684210526316,0.9375,83,36,39,1,3,30,0,3,45
0.25,high,chirp_ringdown,240,0.9041666666666667,0.036585365853658534,0.0125,3,0.02531645569620253,0.9801324503311258,0.9367088607594937,0.7647058823529411,0.7647058823529411,0.7818181818181819,0.8958333333333334,148,6,4,0,26,8,3,2,43
0.25,high,physical_chirp_ringdown,240,0.8958333333333334,0.036585365853658534,0.0125,3,0.02531645569620253,0.9798657718120806,0.9240506329113924,0.7222222222222222,0.7647058823529411,0.7818181818181819,0.8958333333333334,146,8,4,0,26,8,3,2,43
