sensing_regime,pipeline,probe,severity,contact_mode,trial_count,worst_target_stiffness_p95_abs_relative_error,worst_target_stiffness_abs_relative_bias,worst_target_damping_p95_abs_relative_error,worst_target_damping_abs_relative_bias,worst_target_effective_mass_p95_abs_relative_error,worst_target_effective_mass_abs_relative_bias,worst_target_natural_frequency_p95_abs_relative_error,worst_target_damping_ratio_p95_abs_relative_error,full_rank_fraction,ratio_estimate_valid_fraction,maximum_peak_force_n,maximum_peak_target_displacement_m,candidate_score,passes_parameter_tail,passes_bias,passes_observability,passes_disturbance,stage1_go_candidate
no_direct_acceleration,savitzky_golay,chirp,nominal,unilateral,60,0.19351601164019666,0.14136765403446244,0.3298275259709164,0.2800770655206,0.6257506182504191,0.36750284001260336,0.3670457285524617,0.6490301616842588,1.0,1.0,0.9999985396147314,0.012082686857662856,0.42339834667052645,False,False,True,True,False
no_direct_acceleration,savitzky_golay,sinusoid,nominal,unilateral,60,0.09173634894752193,0.05936485204239983,0.800756341490414,0.38021268565069993,0.3565128160157375,0.12303748939992545,0.22385055602047402,0.8427752403511483,1.0,1.0,0.9999210442038161,0.009776220704294156,0.5088312307431628,False,False,True,True,False
no_direct_acceleration,low_pass,chirp,nominal,unilateral,60,0.5006796220222142,0.47671984843913784,0.25249506601449184,0.15212762725123943,0.7144641676185892,0.673538824616528,0.14060590660251487,0.27495197180067976,1.0,1.0,0.9999985396147314,0.012082686857662856,0.5243703808953151,False,False,True,True,False
no_direct_acceleration,low_pass,sinusoid,nominal,unilateral,60,0.5533952449345202,0.5189852554010125,0.657555143453079,0.3907662390980762,0.7491046331371443,0.6352773617779235,0.17754326484698568,0.6817379128928137,1.0,1.0,0.9999210442038161,0.009776220704294156,0.6582255984045977,False,False,True,True,False
no_direct_acceleration,finite_difference,chirp,nominal,unilateral,60,0.6789763520636115,0.6653431285294815,0.5294878606075515,0.3359786396261157,0.9383396444490185,0.9264102315149536,0.23437506526802904,1.2708691256198867,1.0,1.0,0.9999985396147314,0.012082686857662856,0.7352658407082167,False,False,True,True,False
no_direct_acceleration,finite_difference,sinusoid,nominal,unilateral,60,0.8161774690620472,0.7980987629483043,0.809093953565253,0.5701869930060333,0.9755668953099593,0.9243101110872491,0.5018780350039491,2.293650206027416,1.0,1.0,0.9999210442038161,0.009776220704294156,0.8703465696539309,False,False,True,True,False
no_direct_acceleration,savitzky_golay,half_sine,nominal,unilateral,60,0.1689912057495172,0.1219698985238304,1.201902054129985,0.7073936887020645,0.9204929609032706,0.7204065701672562,0.762370201196062,1.2296208960765822,1.0,1.0,1.0,0.011837083203577797,0.8794759550275802,False,False,True,True,False
no_direct_acceleration,low_pass,half_sine,nominal,unilateral,60,0.34462590692427986,0.33943621295115733,1.2609134919217921,0.8150535628437824,0.9923608936231929,0.9493974202316189,0.770128788529169,1.2678076140489978,1.0,1.0,1.0,0.011837083203577797,0.9475318803829965,False,False,True,True,False
no_direct_acceleration,savitzky_golay,multisine,nominal,unilateral,60,0.2194945914026212,0.14268286874532032,1.5691595168903478,0.49479391075631424,0.6244416147420766,0.3985101729947488,0.33452836050021295,1.2246335189143984,1.0,1.0,0.9088358012080359,0.005839098122298077,0.9832542559148922,False,False,True,True,False
no_direct_acceleration,finite_difference,half_sine,nominal,unilateral,60,0.3771723451637195,0.3741199289601157,1.349134844657557,0.9731165315298561,1.0067930029217718,0.982806711769707,0.6235016394475217,4.6708040345426785,1.0,0.9666666666666667,1.0,0.011837083203577797,0.9960013316185391,False,False,True,True,False
no_direct_acceleration,low_pass,multisine,nominal,unilateral,60,0.6424831137063203,0.6162558347718468,1.4763746978981258,0.6188533562204133,0.9018487879417584,0.8666366309006864,0.346648940207399,1.1705887877570686,1.0,1.0,0.9088358012080359,0.005839098122298077,1.0654886259839613,False,False,True,True,False
no_direct_acceleration,finite_difference,multisine,nominal,unilateral,60,0.7236045439247644,0.7103505341181944,1.6045943639622644,0.675365721518974,0.9873400410843984,0.9776447998836517,0.35669761980994896,3.566041967479083,1.0,1.0,0.9088358012080359,0.005839098122298077,1.1652134233087332,False,False,True,True,False
no_direct_acceleration,finite_difference,ramp,nominal,unilateral,60,0.029827375636425957,0.026676151818725524,2.8673108231178364,0.9979256295480688,0.9945970724348077,0.9924588589249451,1.4245123159298168,12.86323592612962,1.0,1.0,1.0,0.010741747288755892,1.7522922478097016,False,False,True,True,False
imu_like,low_pass,sinusoid,nominal,unilateral,60,0.34325740060190746,0.20317615383977866,3.035738756071879,0.7528918194376529,1.0370247521216789,0.6828211012669748,0.6434667117072376,3.2354705201101135,1.0,0.9833333333333333,0.9999210442038161,0.009776220704294156,1.8627001704244521,False,False,True,True,False
imu_like,finite_difference,sinusoid,nominal,unilateral,60,0.5499979091458291,0.4388260569505175,3.0746643277813903,0.827767407453775,1.0024395793909024,0.7830743636987689,0.6055040320095421,3.3308914140697476,1.0,0.9833333333333333,0.9999210442038161,0.009776220704294156,1.8939327283834189,False,False,True,True,False
imu_like,savitzky_golay,sinusoid,nominal,unilateral,60,0.31412432757094205,0.1708812844097398,3.1304748442294454,0.8147286243249378,0.9605590299477585,0.6325156026954513,0.5975941953586572,3.329769127818559,1.0,0.9833333333333333,0.9999210442038161,0.009776220704294156,1.899229711711167,False,False,True,True,False
imu_like,finite_difference,ramp,nominal,unilateral,60,0.055332973199944,0.018178634991983793,3.103367232870979,1.469008858608457,1.3448907755880337,1.1119777249442762,inf,inf,1.0,0.6166666666666667,1.0,0.010741747288755892,1.9530046183801175,False,False,True,True,False
no_direct_acceleration,savitzky_golay,ramp,nominal,unilateral,60,0.013624929581179003,0.010971597690968223,3.6597262208172743,0.9610254245194441,1.035047446310167,0.8296937047358004,0.8183229866923946,3.9464536470052933,1.0,0.9666666666666667,1.0,0.010741747288755892,2.195837339616088,False,False,True,True,False
no_direct_acceleration,low_pass,ramp,nominal,unilateral,60,0.015379095210219438,0.01280013330620731,3.858975086483571,0.9493805070250296,0.9912329140763468,0.9824639659464047,0.7953540615354453,5.930197416746341,1.0,1.0,1.0,0.010741747288755892,2.300323739869286,False,False,True,True,False
imu_like,low_pass,chirp,nominal,unilateral,60,0.3011359853722889,0.20207295675339942,3.9435530907390994,1.595834015912828,0.8564128232030227,0.6606253215034661,0.48184881010472935,4.17841695924531,1.0,1.0,0.9999985396147314,0.012082686857662856,2.3363601880496803,False,False,True,True,False
imu_like,savitzky_golay,chirp,nominal,unilateral,60,0.28259535614349973,0.16079526007054168,3.9814636748724723,1.6126092395715719,0.8251276095931978,0.6440275960045128,0.4551250745990334,4.203597743802648,1.0,1.0,0.9999985396147314,0.012082686857662856,2.3532069396007844,False,False,True,True,False
imu_like,finite_difference,chirp,nominal,unilateral,60,0.45254279622801324,0.38853006692366077,4.033057247913173,1.7047447399288482,0.8952889619312381,0.6840404028371445,0.39383278876243866,4.296659376123342,1.0,1.0,0.9999985396147314,0.012082686857662856,2.3994366055888174,False,False,True,True,False
imu_like,low_pass,multisine,nominal,unilateral,60,0.47999611121733377,0.37134786306159046,4.193555801361116,1.9226632011194078,0.7181880720893382,0.5495010224287453,0.5129496111887718,4.348941046067289,1.0,1.0,0.9088358012080359,0.005839098122298077,2.4719830523154642,False,False,True,True,False
imu_like,low_pass,ramp,nominal,unilateral,60,0.056022085640691346,0.01616657253522546,3.9871612338487257,2.239211576007699,1.7035247742032142,1.2725779968220092,inf,inf,1.0,0.6166666666666667,1.0,0.010741747288755892,2.503503534057138,False,False,True,True,False
imu_like,finite_difference,half_sine,nominal,unilateral,60,0.3522368099257634,0.32400985286676526,4.1840948770120585,1.0342896467022427,1.4278019647978204,1.1626443672351539,inf,inf,1.0,0.6333333333333333,1.0,0.011837083203577797,2.560555874596097,False,False,True,True,False
imu_like,savitzky_golay,multisine,nominal,unilateral,60,0.4297213535482174,0.31759327621798483,4.419344635311972,2.066205825780724,0.7420522540169336,0.5809908548527107,0.5427016328648206,4.6350138538503405,1.0,1.0,0.9088358012080359,0.005839098122298077,2.599096573494184,False,False,True,True,False
imu_like,finite_difference,multisine,nominal,unilateral,60,0.6420332684075819,0.5735390402480108,4.571447954761769,2.3265882693542657,0.8350818639222478,0.7844534198174106,0.5299731015646321,4.715773171987072,1.0,1.0,0.9088358012080359,0.005839098122298077,2.708486960173493,False,False,True,True,False
imu_like,savitzky_golay,ramp,nominal,unilateral,60,0.05172264509694969,0.016497150460220458,4.547224901445683,2.649401217478783,1.763102976485901,1.3542066988026975,inf,inf,1.0,0.65,1.0,0.010741747288755892,2.8159345187721114,False,False,True,True,False
imu_like,low_pass,half_sine,nominal,unilateral,60,0.2801096429603317,0.2263098268635002,4.785773175579237,1.0211786806157241,1.8862387920880883,1.47712658981025,inf,inf,1.0,0.6,1.0,0.011837083203577797,2.974333711435839,False,False,True,True,False
imu_like,savitzky_golay,half_sine,nominal,unilateral,60,0.26219945210921786,0.20259226354647852,4.873023851578191,1.0249893126043355,2.1271291923474993,1.6053055075588039,inf,inf,1.0,0.6333333333333333,1.0,0.011837083203577797,3.0735315524476206,False,False,True,True,False
