source_target_id,target_id,risk_class,severity,log_boundary_distance
matlab_boundary_candidate_s20205_c11,matlab_boundary_206,CAUTION,1.02857530296283,0.0281746437290175
matlab_boundary_candidate_s20265_c08,matlab_boundary_207,CAUTION,1.02991774734203,0.0294789421033211
matlab_boundary_candidate_s20269_c00,matlab_boundary_208,CAUTION,1.03085496246234,0.0303885185747743
matlab_boundary_candidate_s20238_c06,matlab_boundary_209,CAUTION,1.03393744040562,0.0333742717468172
matlab_boundary_candidate_s20287_c07,matlab_boundary_210,CAUTION,1.03507313709732,0.0344720880829045
matlab_boundary_candidate_s20255_c01,matlab_boundary_211,CAUTION,1.0367595870639,0.0361000673298564
matlab_boundary_candidate_s20257_c10,matlab_boundary_212,CAUTION,1.0392234444562,0.0384737462200489
matlab_boundary_candidate_s20285_c00,matlab_boundary_213,CAUTION,1.041,0.0401817896328318
matlab_boundary_candidate_s20277_c10,matlab_boundary_214,CAUTION,1.04106741108569,0.0402465436224036
matlab_boundary_candidate_s20210_c03,matlab_boundary_215,CAUTION,1.04324150715671,0.0423326997007837
matlab_boundary_candidate_s20230_c10,matlab_boundary_216,CAUTION,1.04812022384823,0.0469982967317463
matlab_boundary_candidate_s20271_c02,matlab_boundary_217,CAUTION,1.05474639942927,0.0533003583443083
matlab_boundary_candidate_s20283_c11,matlab_boundary_218,CAUTION,1.0577315176848,0.0561265372295485
matlab_boundary_candidate_s20218_c04,matlab_boundary_219,CAUTION,1.05836923591497,0.056729266800331
matlab_boundary_candidate_s20241_c10,matlab_boundary_220,CAUTION,1.06311921216471,0.0612072399812301
matlab_boundary_candidate_s20240_c03,matlab_boundary_221,CAUTION,1.06421838580813,0.0622406196782589
matlab_boundary_candidate_s20294_c02,matlab_boundary_222,CAUTION,1.06798038428527,0.0657693735952442
matlab_boundary_candidate_s20243_c09,matlab_boundary_223,CAUTION,1.07175344986484,0.0692960453989447
matlab_boundary_candidate_s20294_c10,matlab_boundary_224,CAUTION,1.08150432432561,0.0783529648547748
matlab_boundary_candidate_s20204_c11,matlab_boundary_225,CAUTION,1.08458776248129,0.0811999723824569
matlab_boundary_candidate_s20232_c07,matlab_boundary_226,CAUTION,1.08717245605811,0.0835802487823126
matlab_boundary_candidate_s20252_c11,matlab_boundary_227,CAUTION,1.09210843826975,0.0881101748373788
matlab_boundary_candidate_s20278_c01,matlab_boundary_228,CAUTION,1.09894295822484,0.0943487707303641
matlab_boundary_candidate_s20221_c08,matlab_boundary_229,CAUTION,1.10311333719375,0.09813648856805
matlab_boundary_candidate_s20204_c05,matlab_boundary_230,CAUTION,1.10340668441349,0.0984023798526077
matlab_boundary_candidate_s20234_c06,matlab_boundary_231,CAUTION,1.10596531160386,0.100718538778139
matlab_boundary_candidate_s20219_c07,matlab_boundary_232,CAUTION,1.11204215807553,0.106198107048177
matlab_boundary_candidate_s20245_c00,matlab_boundary_233,CAUTION,1.11562203734264,0.109412130379102
matlab_boundary_candidate_s20264_c01,matlab_boundary_234,CAUTION,1.11776057571037,0.111327197693428
matlab_boundary_candidate_s20247_c05,matlab_boundary_235,CAUTION,1.12629447312324,0.11893301695057
matlab_boundary_candidate_s20217_c06,matlab_boundary_236,CAUTION,1.13523734366299,0.126841742431675
matlab_boundary_candidate_s20222_c01,matlab_boundary_237,CAUTION,1.139,0.130150684465045
matlab_boundary_candidate_s20207_c11,matlab_boundary_238,CAUTION,1.14,0.131028262406404
matlab_boundary_candidate_s20225_c04,matlab_boundary_239,CAUTION,1.14616430447982,0.136420980162184
matlab_boundary_candidate_s20262_c00,matlab_boundary_240,CAUTION,1.14777875665405,0.13782855863973
matlab_boundary_candidate_s20281_c10,matlab_boundary_241,CAUTION,1.151,0.140631129739746
matlab_boundary_candidate_s20284_c10,matlab_boundary_242,CAUTION,1.15207884714685,0.141568003635403
matlab_boundary_candidate_s20211_c00,matlab_boundary_243,CAUTION,1.15394466079027,0.143186212681537
matlab_boundary_candidate_s20223_c08,matlab_boundary_244,CAUTION,1.15414152978767,0.14335680336284
matlab_boundary_candidate_s20202_c04,matlab_boundary_245,CAUTION,1.155,0.144100343973757
matlab_boundary_candidate_s20298_c06,matlab_boundary_246,CAUTION,1.16233956262948,0.150434838313719
matlab_boundary_candidate_s20254_c07,matlab_boundary_247,CAUTION,1.16374402584767,0.151642416060123
matlab_boundary_candidate_s20226_c07,matlab_boundary_248,CAUTION,1.17829947698087,0.164072277861023
matlab_boundary_candidate_s20274_c06,matlab_boundary_249,CAUTION,1.17846465905718,0.164212454872422
matlab_boundary_candidate_s20285_c08,matlab_boundary_250,CAUTION,1.17997527147001,0.165493481876639
matlab_boundary_candidate_s20280_c10,matlab_boundary_251,CAUTION,1.18177711355044,0.167019333986667
matlab_boundary_candidate_s20246_c06,matlab_boundary_252,CAUTION,1.18286994734106,0.167943644330057
matlab_boundary_candidate_s20262_c06,matlab_boundary_253,CAUTION,1.184,0.168898536461814
matlab_boundary_candidate_s20246_c05,matlab_boundary_254,CAUTION,1.189,0.173112617708645
matlab_boundary_candidate_s20291_c11,matlab_boundary_255,CAUTION,1.19078620875346,0.174613768595493
matlab_boundary_candidate_s20281_c05,matlab_boundary_256,CAUTION,1.19754373796649,0.180272574033839
matlab_boundary_candidate_s20292_c09,matlab_boundary_257,CAUTION,1.202,0.183986836113016
matlab_boundary_candidate_s20272_c02,matlab_boundary_258,CAUTION,1.20519195110405,0.186638849778469
matlab_boundary_candidate_s20201_c08,matlab_boundary_259,CAUTION,1.20694766424085,0.188094580977182
matlab_boundary_candidate_s20244_c05,matlab_boundary_260,CAUTION,1.21145960906805,0.191825921113262
matlab_boundary_candidate_s20242_c08,matlab_boundary_261,CAUTION,1.21411754750383,0.194017514559327
matlab_boundary_candidate_s20214_c04,matlab_boundary_262,CAUTION,1.21664500422538,0.196097074021524
matlab_boundary_candidate_s20279_c03,matlab_boundary_263,CAUTION,1.23110978509259,0.207916026891483
matlab_boundary_candidate_s20276_c05,matlab_boundary_264,CAUTION,1.23597694812088,0.211861708473944
matlab_boundary_candidate_s20299_c06,matlab_boundary_265,CAUTION,1.24495241268528,0.219097306443419
matlab_boundary_candidate_s20299_c03,matlab_boundary_266,CAUTION,1.24755602871813,0.221186460435091
matlab_boundary_candidate_s20261_c04,matlab_boundary_267,CAUTION,1.26399836085154,0.234279998929155
matlab_boundary_candidate_s20223_c10,matlab_boundary_268,CAUTION,1.26439377927411,0.234592781443796
matlab_boundary_candidate_s20279_c09,matlab_boundary_269,CAUTION,1.2695107639372,0.238631601005893
matlab_boundary_candidate_s20260_c09,matlab_boundary_270,CAUTION,1.273479940284,0.241753263671383
matlab_boundary_candidate_s20300_c05,matlab_boundary_271,CAUTION,1.2739116325156,0.242092192511644
matlab_boundary_candidate_s20295_c03,matlab_boundary_272,CAUTION,1.2801015499454,0.246939410679443
matlab_boundary_candidate_s20206_c04,matlab_boundary_273,CAUTION,1.2824144164416,0.248744564016703
matlab_boundary_candidate_s20265_c07,matlab_boundary_274,CAUTION,1.28322177022861,0.249373923563357
matlab_boundary_candidate_s20297_c06,matlab_boundary_275,CAUTION,1.28569614656793,0.251300319956437
matlab_boundary_candidate_s20235_c04,matlab_boundary_276,CAUTION,1.287,0.25231392861399
matlab_boundary_candidate_s20213_c11,matlab_boundary_277,CAUTION,1.29178006514753,0.256021162655961
matlab_boundary_candidate_s20215_c06,matlab_boundary_278,CAUTION,1.2917912180161,0.256029796339602
matlab_boundary_candidate_s20242_c03,matlab_boundary_279,CAUTION,1.29380318811567,0.257586088773474
matlab_boundary_candidate_s20275_c03,matlab_boundary_280,CAUTION,1.2953771408954,0.258801881243376
matlab_boundary_candidate_s20251_c09,matlab_boundary_281,CAUTION,1.29747325280118,0.260418721434006
matlab_boundary_candidate_s20205_c02,matlab_boundary_282,CAUTION,1.301,0.263133199530368
matlab_boundary_candidate_s20254_c02,matlab_boundary_283,CAUTION,1.3186059912226,0.276575111310732
matlab_boundary_candidate_s20226_c09,matlab_boundary_284,CAUTION,1.31867633158456,0.276628454376333
matlab_boundary_candidate_s20202_c08,matlab_boundary_285,CAUTION,1.31933925292887,0.277131045310337
matlab_boundary_candidate_s20211_c06,matlab_boundary_286,CAUTION,1.31934434127609,0.277134902041951
matlab_boundary_candidate_s20272_c07,matlab_boundary_287,CAUTION,1.328,0.283674051054242
matlab_boundary_candidate_s20295_c01,matlab_boundary_288,CAUTION,1.32824352233471,0.283857409495093
matlab_boundary_candidate_s20235_c00,matlab_boundary_289,CAUTION,1.33076340561998,0.28575276675283
matlab_boundary_candidate_s20220_c11,matlab_boundary_290,CAUTION,1.34567295251296,0.296894224368122
matlab_boundary_candidate_s20281_c02,matlab_boundary_291,CAUTION,1.34598801309864,0.297128325609804
matlab_boundary_candidate_s20298_c09,matlab_boundary_292,CAUTION,1.35037263187958,0.300380577977335
matlab_boundary_candidate_s20282_c05,matlab_boundary_293,CAUTION,1.35309465138403,0.302394303418834
matlab_boundary_candidate_s20204_c02,matlab_boundary_294,CAUTION,1.35666970899707,0.305032953287863
matlab_boundary_candidate_s20283_c10,matlab_boundary_295,CAUTION,1.37464611252357,0.318196325282364
matlab_boundary_candidate_s20296_c00,matlab_boundary_296,CAUTION,1.37547697889335,0.318800564705433
matlab_boundary_candidate_s20263_c00,matlab_boundary_297,CAUTION,1.38491875859274,0.32564147986307
matlab_boundary_candidate_s20222_c05,matlab_boundary_298,CAUTION,1.38509376904675,0.325767840630388
matlab_boundary_candidate_s20250_c01,matlab_boundary_299,CAUTION,1.39027428402943,0.329501054316136
matlab_boundary_candidate_s20239_c11,matlab_boundary_300,CAUTION,1.39915122699523,0.335865786335425
matlab_boundary_candidate_s20261_c01,matlab_boundary_301,CAUTION,1.4059274634442,0.340697201335151
matlab_boundary_candidate_s20271_c10,matlab_boundary_302,CAUTION,1.41257789271496,0.345416327802944
matlab_boundary_candidate_s20292_c05,matlab_boundary_303,CAUTION,1.41376927501803,0.346259382320262
matlab_boundary_candidate_s20237_c02,matlab_boundary_304,CAUTION,1.41418469770517,0.346553179669249
matlab_boundary_candidate_s20208_c06,matlab_boundary_305,CAUTION,1.42709136328863,0.355638361174444
matlab_boundary_candidate_s20240_c00,matlab_boundary_306,CAUTION,1.44517304333608,0.368229067568311
matlab_boundary_candidate_s20284_c09,matlab_boundary_307,CAUTION,1.44536073058227,0.368358930950742
matlab_boundary_candidate_s20206_c08,matlab_boundary_308,UNSAFE,1.447,0.369492447649347
matlab_boundary_candidate_s20293_c08,matlab_boundary_309,CAUTION,1.44871511245436,0.370677034245967
matlab_boundary_candidate_s20233_c01,matlab_boundary_310,CAUTION,1.44906921617173,0.370921430432136
matlab_boundary_candidate_s20201_c10,matlab_boundary_311,CAUTION,1.45333611116051,0.373861680039984
matlab_boundary_candidate_s20207_c09,matlab_boundary_312,CAUTION,1.45390864625014,0.374255547873481
matlab_boundary_candidate_s20249_c08,matlab_boundary_313,CAUTION,1.45454932616546,0.374696111176623
matlab_boundary_candidate_s20217_c04,matlab_boundary_314,UNSAFE,1.459,0.377751269540649
matlab_boundary_candidate_s20291_c05,matlab_boundary_315,CAUTION,1.46238492746446,0.380068614952698
matlab_boundary_candidate_s20231_c01,matlab_boundary_316,CAUTION,1.46261896161209,0.380228638089074
matlab_boundary_candidate_s20207_c00,matlab_boundary_317,UNSAFE,1.465,0.381855242469031
matlab_boundary_candidate_s20209_c11,matlab_boundary_318,CAUTION,1.46528885378712,0.382052392854174
matlab_boundary_candidate_s20289_c01,matlab_boundary_319,CAUTION,1.46720167986085,0.383356967462738
matlab_boundary_candidate_s20284_c00,matlab_boundary_320,UNSAFE,1.469,0.38458189719174
matlab_boundary_candidate_s20283_c01,matlab_boundary_321,UNSAFE,1.475,0.388657989791783
matlab_boundary_candidate_s20234_c05,matlab_boundary_322,CAUTION,1.4779720143219,0.390670887517176
matlab_boundary_candidate_s20207_c10,matlab_boundary_323,CAUTION,1.47935093483281,0.39160343403614
matlab_boundary_candidate_s20236_c07,matlab_boundary_324,CAUTION,1.47961162490533,0.391779637734518
matlab_boundary_candidate_s20218_c11,matlab_boundary_325,UNSAFE,1.481,0.392717535285662
matlab_boundary_candidate_s20264_c04,matlab_boundary_326,UNSAFE,1.481,0.392717535285662
matlab_boundary_candidate_s20291_c09,matlab_boundary_327,UNSAFE,1.481,0.392717535285662
matlab_boundary_candidate_s20251_c04,matlab_boundary_328,UNSAFE,1.483,0.394067063155795
matlab_boundary_candidate_s20210_c09,matlab_boundary_329,UNSAFE,1.485,0.395414772254663
matlab_boundary_candidate_s20268_c00,matlab_boundary_330,UNSAFE,1.49,0.398776119957368
matlab_boundary_candidate_s20297_c10,matlab_boundary_331,UNSAFE,1.49,0.398776119957368
matlab_boundary_candidate_s20280_c03,matlab_boundary_332,CAUTION,1.49226665338466,0.400296207920355
matlab_boundary_candidate_s20274_c03,matlab_boundary_333,UNSAFE,1.499,0.404798219120461
matlab_boundary_candidate_s20201_c05,matlab_boundary_334,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20201_c09,matlab_boundary_335,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20207_c02,matlab_boundary_336,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20210_c06,matlab_boundary_337,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20212_c04,matlab_boundary_338,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20214_c08,matlab_boundary_339,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20216_c03,matlab_boundary_340,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20217_c09,matlab_boundary_341,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20221_c03,matlab_boundary_342,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20222_c03,matlab_boundary_343,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20223_c09,matlab_boundary_344,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20224_c03,matlab_boundary_345,UNSAFE,1.5,0.405465108108164
matlab_boundary_candidate_s20226_c02,matlab_boundary_346,UNSAFE,1.5,0.405465108108164
