target_id,k,c,m,time_s,matlab_x,matlab_v,matlab_a,force
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0,0,0,0,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.002,1.78855897692013e-08,2.66121408223098e-05,0.0263236326862092,0.00315099657414453
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.004,1.40325355563501e-07,0.000103774842098111,0.0503004223744956,0.00632071605906113
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.006,4.62752969957662e-07,0.000225357723717762,0.0705335776807105,0.0095090276547265
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.008,1.0657213420406e-06,0.000382702340440416,0.08590342536321,0.0127157959721741
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.01,2.01044410131948e-06,0.00056523952276236,0.0956269581882031,0.0159408809715763
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.012,3.33567605911495e-06,0.000761203483534605,0.0992946776289794,0.0191841379004222
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.014,5.05607950833408e-06,0.00095839552261747,0.0968832284312837,0.0224454172318113
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.016,7.1621269111757e-06,0.0011449486963108,0.0887438613434722,0.0257245646028824
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.018,9.62149433997998e-06,0.00131004639287529,0.0755682456301266,0.0290214207533994
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.02,1.23818098900389e-05,0.00144455217119106,0.0583344948284532,0.0323358214645137
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.022,1.53745425157802e-05,0.00154151510946821,0.038237389866875,0.0356675974977266
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.024,1.85197538151315e-05,0.0015965237680907,0.0166076216563129,0.0390165745340717
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.026,2.17313915387836e-05,0.00160789208433777,-0.00517461145198088,0.0423825731135405
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.028,2.4922781077622e-05,0.00157667141318653,-0.0257661480298355,0.0457654085747747
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.03,2.80119705548786e-05,0.00150649381459445,-0.0439422226149974,0.0491648909950468
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.032,3.09266057224594e-05,0.00140326189444894,-0.0586678101562116,0.0525808251305545
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.034,3.36080506559815e-05,0.00127470942887281,-0.0691549047163768,0.0560130103570514
