noise_regime,three_class_accuracy,peak_displacement_median_relative_error,peak_displacement_p95_relative_error,settling_median_absolute_error_s,settling_p95_absolute_error_s,k_median_relative_error,k_p95_relative_error,c_median_relative_error,c_p95_relative_error,m_median_relative_error,m_p95_relative_error
low,0.809558823529412,0.0454739345272202,0.174402981518635,0.0843711341248805,1.15051673827177,0.0348540984733141,0.0632219236218253,0.165528177462214,3.55632733661241,0.0930972869078092,0.452913662711728
nominal,0.819117647058824,0.0411771830484215,0.158899556738302,0.0787107665980261,1.05086381698596,0.0376342040403145,0.0756491917390162,0.219072537047288,3.3049554802872,0.105200616175018,0.584264595797436
high,0.813235294117647,0.0453973549581815,0.177385256344682,0.104083984662278,1.03954627376069,0.0397780907935684,0.103798833245452,0.320320581558533,3.31720281083466,0.131330588278186,0.84310060958517
