target_id,peak_displacement,peak_velocity,oscillation,settling_time,risk_class,severity
matlab_broad_s20101_c00,0.0010937874103749,0.0034556916870091,9.11619004541772e-15,0,SAFE,0.0911489508645753
matlab_broad_s20101_c01,0.00553540119605801,0.0168863288299964,9.54097911787244e-18,0,SAFE,0.461283433004834
matlab_broad_s20101_c02,0.00425690857938696,0.0151716385599452,1.46298623992465e-09,0,SAFE,0.35474238161558
matlab_broad_s20101_c03,0.00269492469844179,0.011501272445745,6.02982389516977e-06,0,SAFE,0.224577058203482
matlab_broad_s20101_c04,0.0129196063905706,0.0413816760724861,1.09787498450764e-14,0,CAUTION,1.07663386588088
matlab_broad_s20101_c05,0.0156154262733632,0.0459535115058388,0.00438834067677635,3,UNSAFE,2.92556045118423
matlab_broad_s20101_c06,0.00628445646440059,0.015284133466148,4.90898278744888e-10,0.242,SAFE,0.523704705366716
matlab_broad_s20101_c07,0.0406543457024444,0.108740076165978,0.00850714638129963,3,UNSAFE,5.67143092086642
matlab_broad_s20101_c08,0.000812792612165075,0.00277302996482016,2.47065951739242e-07,0,SAFE,0.0677327176804229
matlab_broad_s20101_c09,0.00236613909295213,0.00831878756246298,2.34079263337049e-09,0,SAFE,0.197178257746011
matlab_broad_s20101_c10,0.0215683799258291,0.0849052073972087,6.54123784237763e-05,0.858,UNSAFE,1.79736499381909
matlab_broad_s20101_c11,0.00168821431655597,0.00541789039189809,5.19259876434666e-09,0,SAFE,0.140684526379664
matlab_broad_s20102_c00,0.00103754699658951,0.00351292439969577,4.46660241848746e-07,0,SAFE,0.0864622497157923
matlab_broad_s20102_c01,0.00190370508521109,0.00668257610423697,8.13034681344602e-06,0,SAFE,0.158642090434257
matlab_broad_s20102_c02,0.00136107228496873,0.00503924114243073,2.89976591353734e-05,0,SAFE,0.113422690414061
matlab_broad_s20102_c03,0.00294342235804758,0.0101313899334907,2.97433162240035e-06,0,SAFE,0.245285196503965
matlab_broad_s20102_c04,0.00371474878291081,0.0100410859854396,2.73505613379862e-13,0.104,SAFE,0.309562398575901
matlab_broad_s20102_c05,0.0100626613736579,0.0319333680072159,0.000556987618211404,2.954,UNSAFE,1.477
matlab_broad_s20102_c06,0.0234312716719438,0.0666116146064998,1.19010667263212e-15,0.1,UNSAFE,1.95260597266198
matlab_broad_s20102_c07,0.00229134720001101,0.00787569673462901,4.21276944413563e-10,0,SAFE,0.190945600000917
matlab_broad_s20102_c08,0.00502110191306757,0.0149273022316369,1.56125112837913e-17,0.012,SAFE,0.418425159422297
matlab_broad_s20102_c09,0.0145236224336789,0.0464107001503187,0.00145123009563027,3,UNSAFE,1.5
matlab_broad_s20102_c10,0.0174636231056296,0.054256841804168,3.07310776617039e-08,0.252,CAUTION,1.45530192546913
matlab_broad_s20102_c11,0.0168549862598365,0.0739832223269773,0.000740362182260313,3,UNSAFE,1.5
matlab_broad_s20103_c00,0.00876344141624315,0.0282676605674779,1.77331343532657e-08,0,SAFE,0.730286784686929
matlab_broad_s20103_c01,0.0451911123806095,0.0980280319015008,0.0063046729709808,3,UNSAFE,4.2031153139872
matlab_broad_s20103_c02,0.00260307020149277,0.00906540901009942,1.71259204058718e-10,0,SAFE,0.216922516791064
matlab_broad_s20103_c03,0.012012503095308,0.037933839107081,4.73482922634173e-17,0.016,CAUTION,1.001041924609
matlab_broad_s20103_c04,0.00181015014193732,0.00577583480352409,5.86982563783065e-08,0,SAFE,0.150845845161444
matlab_broad_s20103_c05,0.00685636908483484,0.0286142016083531,4.7005184586102e-06,0.014,SAFE,0.571364090402903
matlab_broad_s20103_c06,0.0152067837830418,0.0482798481189043,9.2459581805784e-07,0,CAUTION,1.26723198192015
matlab_broad_s20103_c07,0.00642417788469875,0.0212325345374487,4.23706738752874e-05,1.256,SAFE,0.628
matlab_broad_s20103_c08,0.00309733486136865,0.0106804857724192,1.76573000042053e-05,0,SAFE,0.258111238447388
matlab_broad_s20103_c09,0.00107200391529316,0.00335457234511057,1.73472347597681e-18,0,SAFE,0.0893336596077631
matlab_broad_s20103_c10,0.00464954838704844,0.0163078603824831,1.96511123247898e-09,0.094,SAFE,0.38746236558737
matlab_broad_s20103_c11,0.000822229108697565,0.00271488282412771,1.56512391691693e-07,0,SAFE,0.0685190923914637
matlab_broad_s20104_c00,0.0109199929085526,0.0441950257201926,0.000120379254069318,0.4,SAFE,0.909999409046048
matlab_broad_s20104_c01,0.0347633862531446,0.108328486812373,0.00305197525510642,3,UNSAFE,2.89694885442871
matlab_broad_s20104_c02,0.00412479394374064,0.0141065782298815,9.63482272467561e-07,0,SAFE,0.343732828645054
matlab_broad_s20104_c03,0.0275613061486546,0.0652117007822,0.000668490879801326,2.198,UNSAFE,2.29677551238789
matlab_broad_s20104_c04,0.00177343835141319,0.0059018345272604,5.21596792230743e-07,0,SAFE,0.147786529284432
matlab_broad_s20104_c05,0.00492202646303868,0.0127977436363309,7.45781695167453e-12,0.164,SAFE,0.41016887191989
matlab_broad_s20104_c06,0.0138719662644442,0.0441397728645442,3.71467219176263e-13,0,CAUTION,1.15599718870369
matlab_broad_s20104_c07,0.00329408685317373,0.0124868814789114,6.85661189165083e-08,0.046,SAFE,0.274507237764477
matlab_broad_s20104_c08,0.00630362730878687,0.018073167136185,8.94848001619197e-17,0.054,SAFE,0.525302275732239
matlab_broad_s20104_c09,0.00109480431512501,0.0048587043767531,1.60265756917491e-05,0,SAFE,0.0912336929270845
matlab_broad_s20104_c10,0.00198404685733638,0.00625598831689265,5.20417042793042e-18,0,SAFE,0.165337238111365
matlab_broad_s20104_c11,0.00114236305860988,0.00366063523630341,1.56802541775896e-09,0,SAFE,0.0951969215508235
matlab_broad_s20105_c00,0.00149437832576482,0.00486059414741044,1.08742529564558e-07,0,SAFE,0.124531527147068
matlab_broad_s20105_c01,0.00131582772671063,0.00448713499936905,4.8612959496095e-06,0,SAFE,0.109652310559219
matlab_broad_s20105_c02,0.00684999928737014,0.0217420145719677,1.7284058540007e-17,0,SAFE,0.570833273947512
matlab_broad_s20105_c03,0.00239432231635966,0.00802798173930047,1.24505535929519e-06,0,SAFE,0.199526859696638
