target_id,k,c,m,time_s,matlab_x,matlab_v,matlab_a,force,python_x,python_v,python_a
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0,0,0,0,0,0.0,0.0,0.0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.002,1.78855897692013e-08,2.66121408223098e-05,0.0263236326862092,0.00315099657414453,1.7885589769201313e-08,2.6612140822309846e-05,0.026323632686209242
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.004,1.40325355563501e-07,0.000103774842098111,0.0503004223744956,0.00632071605906113,1.403253555635013e-07,0.00010377484209811135,0.05030042237449563
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.006,4.62752969957662e-07,0.000225357723717762,0.0705335776807105,0.0095090276547265,4.627529699576621e-07,0.0002253577237177618,0.07053357768071043
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.008,1.0657213420406e-06,0.000382702340440416,0.08590342536321,0.0127157959721741,1.0657213420405972e-06,0.00038270234044041616,0.08590342536321005
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.01,2.01044410131948e-06,0.00056523952276236,0.0956269581882031,0.0159408809715763,2.010444101319479e-06,0.0005652395227623601,0.09562695818820335
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.012,3.33567605911495e-06,0.000761203483534605,0.0992946776289794,0.0191841379004222,3.335676059114948e-06,0.0007612034835346053,0.09929467762897948
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.014,5.05607950833408e-06,0.00095839552261747,0.0968832284312837,0.0224454172318113,5.056079508334081e-06,0.0009583955226174711,0.09688322843128364
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.016,7.1621269111757e-06,0.0011449486963108,0.0887438613434722,0.0257245646028824,7.162126911175705e-06,0.0011449486963107966,0.08874386134347187
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.018,9.62149433997998e-06,0.00131004639287529,0.0755682456301266,0.0290214207533994,9.621494339979978e-06,0.001310046392875293,0.07556824563012685
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.02,1.23818098900389e-05,0.00144455217119106,0.0583344948284532,0.0323358214645137,1.2381809890038928e-05,0.0014445521711910574,0.058334494828453425
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.022,1.53745425157802e-05,0.00154151510946821,0.038237389866875,0.0356675974977266,1.5374542515780196e-05,0.001541515109468209,0.038237389866874985
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.024,1.85197538151315e-05,0.0015965237680907,0.0166076216563129,0.0390165745340717,1.851975381513146e-05,0.0015965237680906972,0.016607621656313108
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.026,2.17313915387836e-05,0.00160789208433777,-0.00517461145198088,0.0423825731135405,2.1731391538783575e-05,0.0016078920843377671,-0.005174611451980998
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.028,2.4922781077622e-05,0.00157667141318653,-0.0257661480298355,0.0457654085747747,2.4922781077621997e-05,0.001576671413186531,-0.02576614802983559
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.03,2.80119705548786e-05,0.00150649381459445,-0.0439422226149974,0.0491648909950468,2.8011970554878656e-05,0.0015064938145944531,-0.043942222614997736
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.032,3.09266057224594e-05,0.00140326189444894,-0.0586678101562116,0.0525808251305545,3.092660572245946e-05,0.0014032618944489397,-0.0586678101562118
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.034,3.36080506559815e-05,0.00127470942887281,-0.0691549047163768,0.0560130103570514,3.360805065598154e-05,0.0012747094288728127,-0.06915490471637697
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.036,3.60145261671611e-05,0.00112986413421343,-0.0749026824206505,0.05946124061084,3.601452616716111e-05,0.001129864134213432,-0.07490268242065022
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.038,3.81231059241804e-05,0.000978448909303854,-0.0757186537051326,0.0629253043301509,3.8123105924180384e-05,0.0009784489093038538,-0.07571865370513295
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.04,3.99304858960557e-05,0.000830260440020494,-0.0717201427210507,0.0664049843969347,3.9930485896055717e-05,0.0008302604400204928,-0.07172014272105093
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.042,4.14525210111892e-05,0.000694564141784306,-0.0633166638520282,0.0699000580790913,4.1452521011189225e-05,0.0006945641417843048,-0.06331666385202786
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.044,4.27225989404521e-05,0.000579542101441864,-0.0511749209585735,0.0734102969731642,4.272259894045211e-05,0.0005795421014418635,-0.05117492095857316
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.046,4.37889900818967e-05,0.000491826188866144,-0.0361691656711764,0.0769354669475262,4.378899008189674e-05,0.0004918261888661438,-0.03616916567117617
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.048,4.47113711141023e-05,0.00043614218996736,-0.0193204595238267,0.0804753280860834,4.471137111410226e-05,0.00043614218996735986,-0.019320459523827084
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.05,4.55567636788889e-05,0.000415083116590812,-0.00172894802785589,0.0840296346325259,4.555676367888895e-05,0.0004150831165908118,-0.0017289480278562443
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.052,4.63951576074094e-05,0.00042902129459088,0.0154964534744525,0.0875981349351527,4.639515760740941e-05,0.0004290212945908792,0.015496453474452275
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.054,4.72950984524791e-05,0.000476159974105527,0.0313065509838868,0.0911805713923003,4.7295098452479134e-05,0.00047615997410552625,0.03130655098388659
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.056,4.83195118860909e-05,0.00055271660060771,0.0447743891648321,0.0947766803984036,4.8319511886090884e-05,0.000552716600607709,0.04477438916483237
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.058,4.9522013797111e-05,0.000653222052443681,0.0551481507713745,0.0983861922907183,4.9522013797110974e-05,0.0006532220524436804,0.055148150771374985
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.06,5.09439166941919e-05,0.000770913546039422,0.0618915080544645,0.102008831296736,5.0943916694191865e-05,0.0007709135460394231,0.061891508054465375
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.062,5.26120931214045e-05,0.000898193898668199,0.0647093661561034,0.105644315482321,5.2612093121404485e-05,0.000898193898668201,0.06470936615610284
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.064,5.45377986896245e-05,0.00102712667528547,0.063557906080871,0.109292356700602,5.4537798689624525e-05,0.0010271266752854688,0.0635579060808717
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.066,5.67164948643817e-05,0.00114993556291363,0.0586388370938848,0.112952660541645,5.6716494864381736e-05,0.0011499355629136312,0.05863883709388071
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.068,5.91286488184678e-05,0.00125947711961967,0.05037874252482,0.11662492628295,5.9128648818467764e-05,0.0012594771196196642,0.05037874252482127
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.07,6.17414283316508e-05,0.0013496587191129,0.0393952899970182,0.120308846840785,6.174142833165079e-05,0.0013496587191128963,0.03939528999701797
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.072,6.45111574310344e-05,0.00141577782911185,0.0264528254230838,0.124004108722416,6.451115743103437e-05,0.001415777829111854,0.026452825423087783
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.074,6.73863561932016e-05,0.00145476440118614,0.0124104383531412,0.127710391979238,6.738635619320157e-05,0.0014547644011861456,0.012410438353142084
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.076,7.03111581364885e-05,0.00146531472051658,-0.00183405446727606,0.131427370160866,7.031115813648844e-05,0.0014653147205165866,-0.0018340544672784391
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.078,7.32288823505052e-05,0.00144791213055718,-0.0154006252498647,0.135154710270201,7.322888235050513e-05,0.0014479121305571792,-0.01540062524986403
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.08,7.60855354809806e-05,0.00140473715868464,-0.0274805585607305,0.138892072719514,7.608553548098053e-05,0.001404737158684642,-0.027480558560726717
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.082,7.883303055711e-05,0.0013394762857638,-0.0373837908818332,0.142639111287585,7.883303055710994e-05,0.0013394762857638117,-0.037383790881829165
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.084,8.14319342189675e-05,0.00125704452530779,-0.0445773627643068,0.146395473077927,8.143193421896753e-05,0.0012570445253078067,-0.04457736276430941
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.086,8.38535892364385e-05,0.00116324176900707,-0.0487129173971185,0.150160798478136,8.385358923643849e-05,0.001163241769007077,-0.04871291739711853
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.088,8.60815027739194e-05,0.00106436625821423,-0.0496419224635126,0.153934721120392,8.608150277391945e-05,0.001064366258214242,-0.049641922463515245
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.09,8.81119396912069e-05,0.000966810392874591,-0.0474180916136,0.157716867843168,8.811193969120696e-05,0.0009668103928745946,-0.047418091613602185
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.092,8.99537111000091e-05,0.000876664328600394,-0.0422872866836197,0.161506858654161,8.995371110000917e-05,0.0008766643286003935,-0.04228728668362205
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.094,9.16271982149854e-05,0.000799351478570677,-0.034665942266768,0.165304306694501,9.162719821498546e-05,0.0007993514785706742,-0.034665942266767995
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.096,9.3162697221584e-05,0.000739317264592634,-0.0251097251081296,0.169108818204262,9.316269722158408e-05,0.0007393172645926278,-0.025109725108133127
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.098,9.45982097596912e-05,0.000699788469804476,-0.0142746838099401,0.172919992489327,9.459820975969119e-05,0.0006997884698044638,-0.014274683809941565
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.1,9.59768335300329e-05,0.000682615620598872,-0.00287353039402577,0.176737421889629,9.597683353003294e-05,0.0006826156205988624,-0.0028735303940219605
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.102,9.73439269314027e-05,0.000688205301623406,0.00837009409351278,0.180560691748822,9.734392693140271e-05,0.000688205301623405,0.008370094093516833
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.104,9.87442296909641e-05,0.000715543544990593,0.0187664895947745,0.184389380385415,9.87442296909641e-05,0.0007155435449905923,0.018766489594771167
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.106,0.000100219118043003,0.000762305795535438,0.0277011722571187,0.18822305906541,0.00010021911804300255,0.0007623057955354339,0.02770117225711753
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.108,0.000101804158738135,0.000825043780756401,0.0346701372503408,0.192061291976476,0.00010180415873813512,0.0008250437807563939,0.03467013725033939
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.11,0.00010352710226801,0.000899435209452678,0.0393071425581712,0.195903636203717,0.00010352710226801025,0.0008994352094526693,0.039307142558171
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.112,0.000105406423962894,0.000980578832084683,0.0414016038908682,0.199749641707058,0.00010540642396289409,0.0009805788320846743,0.04140160389086872
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.114,0.000107450484275542,0.0010633151930222,0.0409063156368892,0.203598851300299,0.0001074504842755419,0.0010633151930221946,0.04090631563689138
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.116,0.000109657339089695,0.00114255248566276,0.0379348648343575,0.207450800631875,0.00010965733908969504,0.0011425524856627613,0.0379348648343575
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.118,0.000112015189879787,0.00121357729930263,0.0327492434792248,0.211305018167368,0.00011201518987978708,0.0012135772993026274,0.03274924347922738
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.12,0.000114503424540194,0.00127233165480643,0.0257387503009372,0.215161025173804,0.00011450342454019395,0.0012723316548064337,0.02573875030093529
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.122,0.000117094165029271,0.00131564042431658,0.0173917721657543,0.219018335705793,0.00011709416502927102,0.0013156404243165843,0.017391772165757626
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.124,0.000119754209622197,0.00134137681591224,0.00826241973854044,0.222876456593532,0.00011975420962219688,0.001341376815912249,0.008262419738540673
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.126,0.000122447237068458,0.00134855782694041,-0.00106575784981659,0.226734887432743,0.00012244723706845826,0.001348557826940411,-0.00106575784981683
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,0.128,0.000125136128301448,0.00133736614859359,-0.0100166496882908,0.230593120576559,0.0001251361283014478,0.0013373661485935942,-0.01001664968829227
