time_s,contact_force_n,target_x_m,uav_x_m,pitch_rad
0.0,0.0,0.0,-0.3,-0.0
0.001,0.0,0.0,-0.3,-0.0
0.002,0.0,0.0,-0.3,4.0227086553905126e-11
0.003,0.0,0.0,-0.2999999999999994,3.5951850632813445e-10
0.004,0.0,0.0,-0.29999999999999466,1.4289131043207599e-09
0.005,0.0,0.0,-0.2999999999999748,3.944609733333086e-09
0.006,0.0,0.0,-0.29999999999991434,8.821062604108213e-09
0.007,0.0,0.0,-0.29999999999976457,1.7184211338881492e-08
0.008,0.0,0.0,-0.2999999999994424,3.03648435226494e-08
0.009000000000000001,0.0,0.0,-0.2999999999988172,4.9892087577635725e-08
0.01,0.0,0.0,-0.2999999999976962,7.74870338172695e-08
0.011,0.0,0.0,-0.2999999999958072,1.150564815664314e-07
0.012,0.0,0.0,-0.29999999999278,1.6468681026478067e-07
0.013000000000000001,0.0,0.0,-0.2999999999881261,2.286379724997094e-07
0.014,0.0,0.0,-0.29999999998121635,3.0933760694485036e-07
0.015,0.0,0.0,-0.29999999997125726,4.093752692090279e-07
0.016,0.0,0.0,-0.29999999995726556,5.314967786292126e-07
0.017,0.0,0.0,-0.2999999999380412,6.785986790693529e-07
0.018000000000000002,0.0,0.0,-0.2999999999121392,8.537228118148809e-07
0.019,0.0,0.0,-0.2999999998778396,1.0600509986803457e-06
0.02,0.0,0.0,-0.2999999998331162,1.3008998334748747e-06
0.021,0.0,0.0,-0.2999999997756043,1.5797155799971e-06
0.022,0.0,0.0,-0.2999999997025668,1.9000691747578016e-06
0.023,0.0,0.0,-0.299999999610859,2.2656513326548046e-06
0.024,0.0,0.0,-0.2999999994968927,2.680267753850593e-06
0.025,0.0,0.0,-0.2999999993565987,3.1478344301287557e-06
0.026000000000000002,0.0,0.0,-0.29999999918538844,3.672373049030662e-06
0.027,0.0,0.0,-0.2999999989781146,4.258006494098789e-06
0.028,0.0,0.0,-0.29999999872903055,4.908954439577768e-06
0.029,0.0,0.0,-0.29999999843174924,5.629529037948572e-06
0.03,0.0,0.0,-0.29999999807920064,6.424130698695372e-06
0.031,0.0,0.0,-0.2999999976635887,7.2972439567283255e-06
0.032,0.0,0.0,-0.29999999717634734,8.253433428908975e-06
0.033,0.0,0.0,-0.2999999966080958,9.297339857148132e-06
0.034,0.0,0.0,-0.29999999594859295,1.0433676236568983e-05
0.035,0.0,0.0,-0.2999999951866913,1.1667224027250688e-05
