feature_set,noise_regime,outcome,trial_count,median_abs_relative_error,p95_abs_relative_error,relative_rmse,relative_bias,bound_kind,bound_coverage,median_bound_ratio
full_parameters,low,peak_displacement_m,240,0.09582529818465763,0.2201110058820339,0.12587418799999184,0.017672805773550293,upper,0.975,1.361489418528044
full_parameters,low,peak_velocity_m_per_s,240,0.09578131026144102,0.29376019905914125,0.15849832751947482,0.01662361242178517,upper,0.9416666666666667,1.3408734819113584
full_parameters,low,dominant_response_frequency_hz,240,0.3015990263796853,3.7169410183098854,1.8167083769306218,0.3488237314225147,upper,0.9333333333333333,1.8503180960146477
full_parameters,low,late_hold_oscillation_rms_m,240,0.2722449732300445,2.627086364389503,1.4488545340563144,0.21780745810589208,upper,0.975,23.49856508635319
full_parameters,low,hold_settling_time_s,240,0.9521856379491203,535829.6013551189,217729.19784170974,112335.80663875291,upper,0.9666666666666667,676086.802742999
full_parameters,low,force_to_displacement_gain_m_per_n,240,0.09582529818465607,0.2201110058820346,0.1258741879999914,0.01767280577354839,upper,0.975,1.3614894185280457
full_parameters,low,disturbance_limited_safe_force_n,240,0.2222756907554344,0.6189731948447357,0.37561226483697036,0.04059743646506561,lower,0.95,0.5852507724013063
full_parameters,nominal,peak_displacement_m,240,0.09503820240840632,0.22363698713439445,0.12678333242230652,0.013216967640700366,upper,0.975,1.3629026393678094
full_parameters,nominal,peak_velocity_m_per_s,240,0.0955785819242161,0.27677545927012354,0.15135981018131095,0.009977423273264967,upper,0.9583333333333334,1.3221712753850947
full_parameters,nominal,dominant_response_frequency_hz,240,0.3169747715268007,3.818999784342624,2.2529868507694935,0.4929367900986924,upper,0.9583333333333334,1.8828804030531925
full_parameters,nominal,late_hold_oscillation_rms_m,240,0.2927409395054341,1.063033471415019,2.638236235826349,0.08158337746070586,upper,0.9625,14.745979362648445
full_parameters,nominal,hold_settling_time_s,240,0.8463756578732126,478405.1568469165,202895.1084072134,104369.22014335102,upper,0.9375,749982.362183461
full_parameters,nominal,force_to_displacement_gain_m_per_n,240,0.09503820240840481,0.2236369871343969,0.12678333242230608,0.013216967640698489,upper,0.975,1.3629026393678112
full_parameters,nominal,disturbance_limited_safe_force_n,240,0.22256176926980786,0.5934956298041936,0.39258985863901297,0.04614704606933704,lower,0.9541666666666667,0.5948420182144155
full_parameters,high,peak_displacement_m,240,0.09702539296850735,0.2750314075945698,0.14023149059527948,0.008386546893920883,upper,0.9291666666666667,1.3564430922020174
full_parameters,high,peak_velocity_m_per_s,240,0.10267628016321118,0.31059939270104414,0.17084524139969573,0.017295795119015574,upper,0.9291666666666667,1.343943026689046
full_parameters,high,dominant_response_frequency_hz,240,0.2788350433595114,5.677847124340485,4.008820329563594,0.9791653114194687,upper,0.975,2.0540346419419864
full_parameters,high,late_hold_oscillation_rms_m,240,0.30652129412673634,1.5898769945731943,5.884777513015209,0.5136421156899877,upper,0.95,13.127395841045974
full_parameters,high,hold_settling_time_s,240,0.9781128350312842,452217.50038370426,185830.29521942328,94391.86622906059,upper,0.9291666666666667,807957.921794659
full_parameters,high,force_to_displacement_gain_m_per_n,240,0.09702539296850712,0.27503140759456746,0.14023149059527912,0.008386546893918987,upper,0.9291666666666667,1.3564430922020203
full_parameters,high,disturbance_limited_safe_force_n,240,0.21408989839652146,0.5960695367700852,0.3905809578244465,0.04565687344655003,lower,0.9583333333333334,0.5958839312439375
stiffness_only,low,peak_displacement_m,240,0.11014042162918089,0.25913626627072706,0.14442833865451724,0.013712026387210337,upper,0.975,1.4591989966165277
stiffness_only,low,peak_velocity_m_per_s,240,0.16537312349288763,0.40102900171953193,0.2324450090552838,0.02842385279288475,upper,0.9541666666666667,1.4959110920098901
stiffness_only,low,dominant_response_frequency_hz,240,0.5354858444999984,7.992468376924206,3.4496752172601743,1.0334308216498054,upper,0.9041666666666667,2.9027490332164407
stiffness_only,low,late_hold_oscillation_rms_m,240,0.8412328905970536,1.5041552737590171,0.8611752324955477,-0.128448874924151,upper,0.9458333333333333,141.23269547666047
stiffness_only,low,hold_settling_time_s,240,3.0248856619929905,534785.6897120856,220394.20645066365,119338.27073332788,upper,0.9458333333333333,1469933.1311241433
stiffness_only,low,force_to_displacement_gain_m_per_n,240,0.11014042162918669,0.25913626627072317,0.14442833865451848,0.013712026387215656,upper,0.975,1.459198996616529
stiffness_only,low,disturbance_limited_safe_force_n,240,0.22687936828906977,0.5978179550534793,0.43935016572578667,0.04931766633959292,lower,0.9666666666666667,0.5384013625158557
stiffness_only,nominal,peak_displacement_m,240,0.11280595207140032,0.2567475090076016,0.14566892174792911,0.016015983131636026,upper,0.975,1.4764181877074356
