noise_regime,stratum,trial_count,safe_count,non_safe_count,true_safe_count,true_non_safe_count,false_safe_count,false_positive_count,false_negative_count,false_safe_rate,false_safe_ci95_lower,false_safe_ci95_upper,false_safe_one_sided95_upper,binary_accuracy,safe_precision,non_safe_recall,sensitivity_non_safe,specificity_safe,false_positive_rate,false_negative_rate
low,overall,1360,839,521,679,521,0,160,0,0.0,0.0,0.007055375973066881,0.005733466560587819,0.8823529411764706,1.0,1.0,1.0,0.8092967818831943,0.1907032181168057,0.0
low,broad,960,639,321,545,321,0,94,0,0.0,0.0,0.011426057369519968,0.009289086677389258,0.9020833333333333,1.0,1.0,1.0,0.8528951486697965,0.14710485133020346,0.0
low,boundary,400,200,200,134,200,0,66,0,0.0,0.0,0.018275340355136244,0.014867039231272083,0.835,1.0,1.0,1.0,0.67,0.33,0.0
nominal,overall,1360,839,521,687,520,1,152,1,0.0019193857965451055,4.85934603442586e-05,0.010647331816781062,0.009072656536444236,0.8875,0.998546511627907,0.9980806142034548,0.9980806142034548,0.8188319427890346,0.18116805721096543,0.0019193857965451055
nominal,broad,960,639,321,545,320,1,94,1,0.003115264797507788,7.886856567465724e-05,0.017234048376163182,0.014692492178049759,0.9010416666666666,0.9981684981684982,0.9968847352024922,0.9968847352024922,0.8528951486697965,0.14710485133020346,0.003115264797507788
nominal,boundary,400,200,200,142,200,0,58,0,0.0,0.0,0.018275340355136244,0.014867039231272083,0.855,1.0,1.0,1.0,0.71,0.29,0.0
high,overall,1360,839,521,692,519,2,147,2,0.003838771593090211,0.0004652316104043787,0.013797606490045066,0.012034334981246559,0.8904411764705882,0.9971181556195965,0.9961612284069098,0.9961612284069098,0.8247914183551848,0.17520858164481526,0.003838771593090211
high,broad,960,639,321,544,320,1,95,1,0.003115264797507788,7.886856567465724e-05,0.017234048376163182,0.014692492178049759,0.9,0.998165137614679,0.9968847352024922,0.9968847352024922,0.8513302034428795,0.1486697965571205,0.003115264797507788
high,boundary,400,200,200,148,199,1,52,1,0.005,0.00012658102786701866,0.02754189845720526,0.023498470434950344,0.8675,0.9932885906040269,0.995,0.995,0.74,0.26,0.005
