noise_regime,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_unsafe_rate,contact_loss_accuracy,contact_loss_recall,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,brier_score,expected_calibration_error
low,1360,0.8102941176470588,0.0,0.0,0.011918951132300357,0.9529411764705882,0.991869918699187,1.0,0.8092967818831943,0.49193548387096775,0.756198347107438,0.7766990291262136,0.8602150537634409,679,150,10,0,183,59,0,39,240,nan,nan
nominal,1360,0.8213235294117647,0.0019193857965451055,0.0007352941176470588,0.010727056019070322,0.9580882352941177,0.991869918699187,0.998546511627907,0.8188319427890346,0.5108108108108108,0.78099173553719,0.7980132450331126,0.8637992831541219,687,143,9,1,189,52,0,38,241,nan,nan
high,1360,0.8279411764705882,0.003838771593090211,0.0014705882352941176,0.0059594755661501785,0.9625,0.991869918699187,0.9971181556195965,0.8247914183551848,0.5172413793103449,0.8057851239669421,0.8269896193771626,0.8566308243727598,692,142,5,2,195,45,0,40,239,nan,nan
