experiment,noise_regime,binary_accuracy,false_safe_rate,non_safe_recall,safe_precision
EXP-0006,nominal,0.8875,0.0,1.0,1.0
EXP-0007,nominal,0.8875,0.0019193857965451055,0.9980806142034548,0.998546511627907
EXP-0006,high,0.8958333333333334,0.0,1.0,1.0
EXP-0007,high,0.8904411764705882,0.003838771593090211,0.9961612284069098,0.9971181556195965
