aborted,actual_risk_class,case_index,completed,damping_n_s_per_m,effective_mass_kg,first_contact_impulse_n_s,first_contact_peak_force_n,future_contact_loss_proxy,future_hold_settling_time_s,future_late_hold_oscillation_rms_m,future_peak_displacement_m,future_peak_velocity_m_per_s,future_raw_path,future_realized_sustained_force_rms_error_n,future_terminal_phase,future_terminal_reason,minimum_actuator_reserve,motor_saturation_fraction,near_loss_count,passive_force_squared_energy_n2_s,passive_max_commanded_probe_force_n,passive_recontact,passive_residual_force_rms_n,peak_angular_rate_rad_s,peak_attitude_deg,peak_contact_force_n,peak_target_acceleration_m_per_s2,peak_target_displacement_m,peak_target_velocity_m_per_s,peak_vehicle_position_disturbance_m,probe_contact_fraction,probe_correlation,probe_cross_correlation_lag_s,probe_delivery_bandwidth_hz,probe_normalized_rms_tracking_error,probe_peak_tracking_error_n,probe_raw_path,probe_recontact_count,probe_rms_tracking_error_n,probe_separation_count,probe_weighted_phase_lag_rad,recontact_peak_force_n,reduced_order_boundary_severity,seed,stiffness_n_per_m,stratum,terminal_phase,terminal_reason,total_recontact_count,trial_id,unload_impulse_n_s,zero_separation_during_probe
False,UNSAFE,0,True,0.3337522618188528,0.3845769667152096,0.00048187060048738596,0.033301091226048636,False,3.0,0.002153526069389986,0.006244594861102585,0.03181623034060447,raw/held_out/exp0009_boundary_s14201_c00__sustained_contact.npz,1.4207335168535697,DECISION,observation_complete,0.73561363473353,0.0,0.0,0.0,0.0,False,0.0,0.31588526322283833,2.0035900264770183,0.6574775461315254,1.335631574684067,0.004539194421635633,0.06544352814373063,0.008273407413989058,1.0,-0.0998956291680316,0.2170000000000002,0.0,1.066293596761436,0.5675641953612132,raw/held_out/exp0009_boundary_s14201_c00__probe.npz,0.0,0.27941461976324977,0.0,6.1113065639232405,0.0641637241949799,1.0212369859282198,14201,170.7380672089682,boundary,DECISION,observation_complete,5.0,exp0009_boundary_s14201_c00,0.1432974086076686,True
True,UNSAFE,1,False,6.729686778366037,2.1475131326644616,0.0012252248466427334,0.054658263465574966,True,inf,inf,inf,inf,raw/held_out/exp0009_boundary_s14201_c01__sustained_contact.npz,inf,ABORT,acquisition_timeout,0.7347060752794958,0.0,0.0,inf,inf,True,inf,0.07272140686138051,0.3706862162931676,0.6171080532625962,0.28382222013557706,0.0003249876331238244,0.004022633066766869,0.0022055974737577207,0.0,0.0,inf,0.0,inf,inf,raw/held_out/exp0009_boundary_s14201_c01__probe.npz,inf,inf,inf,inf,0.6171080532625962,1.0294759364497013,14201,213.81074228148387,boundary,ABORT,acquisition_timeout,14.0,exp0009_boundary_s14201_c01,inf,False
False,SAFE,2,True,28.877838425471296,0.41258593310810404,0.0007063939653819721,0.03746176184254159,False,0.09799999999999986,5.102008609742107e-10,0.0032616095593097413,0.016153704172054015,raw/held_out/exp0009_boundary_s14201_c02__sustained_contact.npz,1.3843807898106715,DECISION,observation_complete,0.7354677148984917,0.0,0.0,0.0,0.0,False,0.0,0.28493589883659026,1.9217898853309774,0.7691706957987972,0.2904383027237024,0.0033584736971155574,0.01642794901165555,0.007711023510091842,1.0,-0.12820125920471181,0.07900000000000007,0.0,1.0383809968851947,0.5375222204497632,raw/held_out/exp0009_boundary_s14201_c02__probe.npz,0.0,0.2721003223645676,0.0,1.143828792537485,0.03156127369416414,0.942733323377417,14201,176.79089353058464,boundary,DECISION,observation_complete,2.0,exp0009_boundary_s14201_c02,0.11823784763450282,True
False,CAUTION,3,True,5.354383820897387,1.1649863541484904,0.000964817802774731,0.04810043140962389,False,2.591000000000001,0.00014415601046290403,0.004241915318157208,0.021638800003648217,raw/held_out/exp0009_boundary_s14201_c03__sustained_contact.npz,1.3748565537518502,DECISION,observation_complete,0.7327690565256754,0.0,0.0,0.0,0.0,False,0.0,0.36316570140732485,2.1229905659322945,0.7372741006712393,0.406682439458511,0.003589341331436855,0.03444921535935449,0.008282705329237697,1.0,0.040632539900881205,0.05999999999999339,0.0,0.998580719353775,0.5151357717478207,raw/held_out/exp0009_boundary_s14201_c03__probe.npz,0.0,0.26167094395819845,0.0,1.0488394637729803,0.20868197188005727,1.063048555256276,14201,186.73004771266602,boundary,DECISION,observation_complete,24.0,exp0009_boundary_s14201_c03,0.11709332909002622,True
False,CAUTION,4,True,3.6282557167723346,0.42460063236904894,0.0005393076150756234,0.034998619830421976,False,2.729,0.00022882068870116938,0.005177335437377214,0.02899025679111859,raw/held_out/exp0009_boundary_s14201_c04__sustained_contact.npz,1.3886999769992396,DECISION,observation_complete,0.7359301369548381,0.0,0.0,0.0,0.0,False,0.0,0.3156660559316853,1.9222546550661377,0.6451098297826788,0.7187756007107018,0.004134763429442135,0.049560110848322105,0.00804136575613489,1.0,-0.13330825810574826,0.08000000000000007,0.0,1.0374127854144453,0.5287771645031704,raw/held_out/exp0009_boundary_s14201_c04__probe.npz,0.0,0.2718466094652578,0.0,1.844808832275468,0.05350201792579373,1.0663280284816932,14201,163.26800216525206,boundary,DECISION,observation_complete,4.0,exp0009_boundary_s14201_c04,0.12959875975454388,True
False,UNSAFE,5,True,1.9218090118709819,0.16538441723452377,0.0008563460842153504,0.023061307321800825,False,3.0,0.000540173321822434,0.00485897626213553,0.033224733738708115,raw/held_out/exp0009_boundary_s14201_c05__sustained_contact.npz,1.3849608593257399,DECISION,observation_complete,0.7334773220995138,0.0,0.0,0.0,0.0,False,0.0,0.3718174679432861,2.4484632092311904,0.6914405787311813,1.697310477277835,0.004124754361462941,0.06563499203491788,0.010965615993015817,1.0,0.006091304931013728,0.14499999999998403,0.0,0.9985489920104184,0.5389649109228409,raw/held_out/exp0009_boundary_s14201_c05__probe.npz,0.0,0.2616626300345221,0.0,2.4156236699258056,0.01587607204270553,0.932455127119857,14201,181.69686555303483,boundary,DECISION,observation_complete,1.0,exp0009_boundary_s14201_c05,0.14531145132697476,True
False,UNSAFE,6,True,3.303517313812879,0.24392405885457782,0.0008889241576973804,0.02785180490546018,False,3.0,0.0002714646864699448,0.005047964181112689,0.03143382723912796,raw/held_out/exp0009_boundary_s14201_c06__sustained_contact.npz,1.3786464435639567,DECISION,observation_complete,0.7333532811206434,0.0,0.0,0.0,0.0,False,0.0,0.3578121293902095,2.330285075345785,0.6916380906207011,1.1289705032429864,0.004039750253463246,0.05757223993104199,0.01037292589204366,1.0,-0.06839070342279847,0.12599999999998612,0.0,0.9985283959884247,0.5237794813900851,raw/held_out/exp0009_boundary_s14201_c06__probe.npz,0.0,0.26165723299409016,0.0,2.0907944842491313,0.01825698613324341,0.9291723405339791,14201,183.81073477409976,boundary,DECISION,observation_complete,1.0,exp0009_boundary_s14201_c06,0.13975133307398194,True
False,CAUTION,7,True,4.549058568588148,0.40649732730904165,0.0005291007474402196,0.034537701541560877,False,2.034,0.0001228689123972866,0.004975841776771228,0.02862735187579809,raw/held_out/exp0009_boundary_s14201_c07__sustained_contact.npz,1.387823290471889,DECISION,observation_complete,0.7358903481774148,0.0,0.0,0.0,0.0,False,0.0,0.3150099993546984,1.9218062433984389,0.650577989270727,0.6458804000663482,0.00414103187693301,0.04724947217347789,0.008055738322752696,1.0,-0.13911259041976962,0.08000000000000007,0.0,1.0366550886894517,0.527209278366888,raw/held_out/exp0009_boundary_s14201_c07__probe.npz,0.0,0.2716480604512217,0.0,1.8046737099706955,0.046787677712583825,1.0771239486698272,14201,161.2734323331956,boundary,DECISION,observation_complete,4.0,exp0009_boundary_s14201_c07,0.1288246058561188,True
False,SAFE,8,True,7.182705099927332,0.10028093781458747,0.0009736861270298317,0.01907934594514763,False,0.9240000000000004,1.1828201342572129e-05,0.004669572151503652,0.030204082424405383,raw/held_out/exp0009_boundary_s14201_c08__sustained_contact.npz,1.3742196543825649,DECISION,observation_complete,0.732624837290301,0.0,0.0,0.0,0.0,False,0.0,0.36417970917018583,2.345561191811149,0.7400802665272131,0.776286696141778,0.004564503609718471,0.050654065497942075,0.010269961319849774,1.0,-0.2081444253284686,0.11199999999998766,0.0,1.0001345888476114,0.5138868423736053,raw/held_out/exp0009_boundary_s14201_c08__probe.npz,0.0,0.2620781243587004,0.0,1.925578621895457,0.0,1.0793921856393824,14201,154.41887655016401,boundary,DECISION,observation_complete,0.0,exp0009_boundary_s14201_c08,0.1381884713872028,True
False,SAFE,9,True,38.445786248121664,1.167244100363667,0.0010710366668349484,0.04965720400264714,False,0.33700000000000063,8.739433781870406e-10,0.0035779346937192084,0.01151430986094423,raw/held_out/exp0009_boundary_s14201_c09__sustained_contact.npz,1.3870320961557887,DECISION,observation_complete,0.7343972630717243,0.0,0.0,0.0,0.0,False,0.0,0.32049196457849854,1.9264131543383305,0.7936229452218395,0.21006280303816335,0.0036883110642773652,0.011809380748402694,0.00815847157156829,1.0,-0.005697055097359872,0.06800000000000006,0.0,1.0318174034231486,0.5393072025448034,raw/held_out/exp0009_boundary_s14201_c09__probe.npz,0.0,0.2703803795860981,0.0,0.8972729688224214,0.09829068016954144,1.0940436494578412,14201,152.33998744551,boundary,DECISION,observation_complete,5.0,exp0009_boundary_s14201_c09,0.11358514820007025,True
False,SAFE,10,True,40.88004677600946,0.2841485514586973,0.0007649913714595769,0.035613038507132294,False,0.43100000000000005,3.884409550178272e-08,0.0036094673481618885,0.012036875153425768,raw/held_out/exp0009_boundary_s14201_c10__sustained_contact.npz,1.3898000011813825,DECISION,observation_complete,0.7346434498583936,0.0,0.0,0.0,0.0,False,0.0,0.2931317815374639,1.9218755970827122,0.8123749251812674,0.2510176388778456,0.003748235945771974,0.01230767743110198,0.008176820423156948,1.0,-0.1038505677961485,0.07900000000000007,0.0,1.0385693211642362,0.5433639909913094,raw/held_out/exp0009_boundary_s14201_c10__probe.npz,0.0,0.2721496713965607,0.0,1.0425232936533864,0.03734449680796116,1.102945027319153,14201,151.10984370841769,boundary,DECISION,observation_complete,2.0,exp0009_boundary_s14201_c10,0.11705600507305583,True
False,UNSAFE,11,True,2.8294128320919314,0.4832229012961841,0.0005777044652242655,0.03653180441269514,False,3.0,0.0004239882401064805,0.005539009652975014,0.029196472813933706,raw/held_out/exp0009_boundary_s14201_c11__sustained_contact.npz,1.3890269175763283,DECISION,observation_complete,0.735754808307128,0.0,0.0,0.0,0.0,False,0.0,0.3198632464129208,1.9418028844129294,0.6395908334744326,0.7374701717873284,0.004264754451442582,0.051554922335295204,0.008138561964491737,1.0,-0.22698494394506774,0.07100000000000006,0.0,1.037773056366666,0.5237391428516278,raw/held_out/exp0009_boundary_s14201_c11__probe.npz,0.0,0.27194101589462416,0.0,1.5060443681850966,0.07048225226916403,1.117255649924764,14201,157.13795786554155,boundary,DECISION,observation_complete,5.0,exp0009_boundary_s14201_c11,0.12820265301111855,True
False,SAFE,12,True,13.262905470032143,1.4403449873790535,0.0010778606235138123,0.050836007952275546,False,0.827,6.229343658137547e-06,0.003706701953884114,0.01807291739399573,raw/held_out/exp0009_boundary_s14201_c12__sustained_contact.npz,1.3730547997733205,DECISION,observation_complete,0.7312094287863886,0.0,0.0,0.0,0.0,False,0.0,0.38763683438860214,2.184117259429976,0.7878206542515355,0.31816182611345684,0.0037917243273746953,0.02359835612433708,0.008232697496603249,1.0,0.04143647706625705,0.06099999999999328,0.0,0.9973060425298831,0.5182284503169305,raw/held_out/exp0009_boundary_s14201_c12__probe.npz,0.0,0.2613369240023903,0.0,0.9068642459023402,0.21456685770632347,1.1234428077798961,14201,165.12885215615452,boundary,DECISION,observation_complete,23.0,exp0009_boundary_s14201_c12,0.11483848711450943,True
True,UNSAFE,13,False,16.829044013904795,4.279129404422177,0.0014428526500381163,0.05942747167601333,True,inf,inf,inf,inf,raw/held_out/exp0009_boundary_s14201_c13__sustained_contact.npz,inf,ABORT,acquisition_timeout,0.7369400202355537,0.0,0.0,inf,inf,True,inf,0.07636327354187315,0.3656246926653497,0.5534201504748547,0.12232572408802729,0.0002733278793854121,0.0018485566610405714,0.002210178672628048,0.0,0.0,inf,0.0,inf,inf,raw/held_out/exp0009_boundary_s14201_c13__probe.npz,inf,inf,inf,inf,0.5534201504748547,1.125470647430619,14201,191.03071142447658,boundary,ABORT,acquisition_timeout,13.0,exp0009_boundary_s14201_c13,inf,False
False,SAFE,14,True,22.184436095472993,1.1287652501813679,0.0010063024449035157,0.048490889909346115,False,0.12700000000000067,5.411154753475996e-08,0.003882751313454788,0.015321258704633064,raw/held_out/exp0009_boundary_s14201_c14__sustained_contact.npz,1.3835122082654634,DECISION,observation_complete,0.7343566241664439,0.0,0.0,0.0,0.0,False,0.0,0.32561455664508526,1.9286378914925408,0.7575255181974248,0.2737659173883547,0.0040095640955822255,0.018117316839825585,0.008331705401851438,1.0,0.00275513044332749,0.06500000000000006,0.0,1.0297611053769535,0.5327528772330234,raw/held_out/exp0009_boundary_s14201_c14__probe.npz,0.0,0.26984154137264305,0.0,0.940346460624795,0.10661854996275223,1.1515785160123797,14201,145.0579656025405,boundary,DECISION,observation_complete,7.0,exp0009_boundary_s14201_c14,0.11403646415160268,True
False,UNSAFE,15,True,0.6624275501460744,0.1370182584794004,0.0008446609602488775,0.02097283308866672,False,3.0,0.0010366785034938446,0.004301481888818631,0.0387026537525544,raw/held_out/exp0009_boundary_s14201_c15__sustained_contact.npz,1.424733918919055,DECISION,observation_complete,0.7350702947656137,0.0,0.0,0.0,0.0,False,0.0,0.3418804598408242,2.283159948227796,0.70364068153353,2.3301048656172143,0.003905149839913517,0.06776285371984539,0.010264969206736954,1.0,-0.34647164904475886,-0.19899999999997808,0.0,1.0260284799260297,0.531962031595666,raw/held_out/exp0009_boundary_s14201_c15__probe.npz,0.0,0.26886343353793757,0.0,-2.3398624678164186,0.04432138457247904,0.8638945487866095,14201,196.43975056751202,boundary,DECISION,observation_complete,3.0,exp0009_boundary_s14201_c15,0.1497925898505151,True
False,SAFE,16,True,19.43610544263971,0.6556056375210573,0.000788961027853562,0.04196822538732118,False,0.2839999999999998,3.863077259696451e-08,0.0030685410464254656,0.019953727696934365,raw/held_out/exp0009_boundary_s14201_c16__sustained_contact.npz,1.3845566203844706,DECISION,observation_complete,0.7358853134664404,0.0,0.0,0.0,0.0,False,0.0,0.2870324984627424,1.9228957347806006,0.7306940316242801,0.31856150195392235,0.0031898311301312423,0.020996218250022923,0.007479628033021887,1.0,-0.0906594162243156,0.07400000000000007,0.0,1.035700118379628,0.5321371788480328,raw/held_out/exp0009_boundary_s14201_c16__probe.npz,0.0,0.27139781730354173,0.0,1.185992696311491,0.05529987327469819,0.8619708952720115,14201,193.64384959481674,boundary,DECISION,observation_complete,3.0,exp0009_boundary_s14201_c16,0.11843829239619066,True
False,UNSAFE,17,True,0.3684887086966707,0.371626979671804,0.00047095000259707765,0.032826971268090525,False,3.0,0.0014719859456103863,0.004582635318435892,0.030819419207681033,raw/held_out/exp0009_boundary_s14201_c17__sustained_contact.npz,1.40714260944487,DECISION,observation_complete,0.7365440552988632,0.0,0.0,0.0,0.0,False,0.0,0.3184614781682309,1.9292330425815793,0.6065945847129781,1.31236409160513,0.003484109366714218,0.05715307001852726,0.007890078433453667,1.0,0.24291501981882857,-0.08100000000000007,0.0,1.0138804191966984,0.5479434425444466,raw/held_out/exp0009_boundary_s14201_c17__probe.npz,0.0,0.2656801210057642,0.0,-0.5810520319185356,0.05511536007595626,0.8470665016259217,14201,209.06854422698063,boundary,DECISION,observation_complete,4.0,exp0009_boundary_s14201_c17,0.13411329504781883,True
True,UNSAFE,18,False,4.884917715627627,1.9332716647178951,0.0011807736646340678,0.05361538441166174,True,inf,inf,inf,inf,raw/held_out/exp0009_boundary_s14201_c18__sustained_contact.npz,inf,ABORT,acquisition_timeout,0.73394080287797,0.0,0.0,inf,inf,True,inf,0.07611590443590006,0.38992396694081743,0.6292103475293338,0.3316485407123329,0.00034380432803972176,0.004643967590639109,0.0021896684181059063,0.0,0.0,inf,0.0,inf,inf,raw/held_out/exp0009_boundary_s14201_c18__probe.npz,inf,inf,inf,inf,0.6292103475293338,0.8425068303066621,14201,255.71816901883324,boundary,ABORT,acquisition_timeout,14.0,exp0009_boundary_s14201_c18,inf,False
False,SAFE,19,True,26.40339616672302,0.7777497935394733,0.0008836657765401213,0.04450705772941935,False,0.14700000000000024,3.754218496539893e-10,0.004027351293421023,0.01584541815277409,raw/held_out/exp0009_boundary_s14201_c19__sustained_contact.npz,1.3842010382675878,DECISION,observation_complete,0.7344866468221185,0.0,0.0,0.0,0.0,False,0.0,0.31368838150392736,1.9236296779528301,0.7632083129009829,0.2838896074703062,0.004161852311415468,0.016895331089674878,0.008481945815735949,1.0,-0.04957254482825561,0.07100000000000006,0.0,1.034430197028824,0.5353607075655171,raw/held_out/exp0009_boundary_s14201_c19__probe.npz,0.0,0.27106504348548466,0.0,1.0277088953156506,0.06706304436819996,1.2050399442917832,14201,138.30800153395813,boundary,DECISION,observation_complete,4.0,exp0009_boundary_s14201_c19,0.11559860234017436,True
False,CAUTION,20,True,3.748847971558206,0.14377226533519558,0.0009741152838660545,0.02195417329326895,False,2.514000000000001,0.00013402915385886944,0.004219837554832799,0.03202664153180945,raw/held_out/exp0009_boundary_s14201_c20__sustained_contact.npz,1.3789243399132884,DECISION,observation_complete,0.733559717963113,0.0,0.0,0.0,0.0,False,0.0,0.35397493478051656,2.2821987822896515,0.7313190437117983,1.3657786643099203,0.0037646042882421515,0.05695926662759702,0.010609606178726774,1.0,0.015155270122102856,0.12199999999998656,0.0,0.9949376401676997,0.5169291109123889,raw/held_out/exp0009_boundary_s14201_c20__probe.npz,0.0,0.2607163010825062,0.0,2.0986257654626645,0.012091067785815363,0.8290942009194668,14201,203.21282146362972,boundary,DECISION,observation_complete,1.0,exp0009_boundary_s14201_c20,0.14310308959177853,True
False,SAFE,21,True,40.061626922717345,0.10659679341415375,0.0013063493488334002,0.02981558742790169,False,0.3000000000000007,4.688658729047288e-10,0.002930015089231148,0.013096069713377824,raw/held_out/exp0009_boundary_s14201_c21__sustained_contact.npz,1.3794050419493489,DECISION,observation_complete,0.732306074809082,0.0,0.0,0.0,0.0,False,0.0,0.3307156697406694,2.0258880072484695,0.8769916398276811,0.295371115795063,0.0030691510762341527,0.013566044315823245,0.008818502063876478,1.0,-0.13809055963754846,0.08299999999999086,0.0,1.0034301418164064,0.5304750180016482,raw/held_out/exp0009_boundary_s14201_c21__probe.npz,0.0,0.26294170047177307,0.0,1.0226983690224827,0.011449433964024697,0.8284293848131593,14201,201.18389920456022,boundary,DECISION,observation_complete,1.0,exp0009_boundary_s14201_c21,0.12281204185535226,True
False,UNSAFE,22,True,2.5300310419843615,0.32659126184369414,0.0004421697774691201,0.03144211163839518,False,3.0,0.0005010957451280214,0.006094900052697048,0.03155779083346968,raw/held_out/exp0009_boundary_s14201_c22__sustained_contact.npz,1.3906818790605506,DECISION,observation_complete,0.7355732535836872,0.0,0.0,0.0,0.0,False,0.0,0.3295159964322087,2.0603222315873437,0.6267618939962958,0.9478566202652591,0.004673840034428937,0.05862948672741458,0.00844236770573033,1.0,-0.3822948043357107,0.2500000000000002,0.0,1.042012447199363,0.5222607351284045,raw/held_out/exp0009_boundary_s14201_c22__probe.npz,0.0,0.2730519179774497,0.0,-3.9662253435630515,0.04145687107485501,1.2072010469262666,14201,143.65728600791064,boundary,DECISION,observation_complete,4.0,exp0009_boundary_s14201_c22,0.1330308021922636,True
