actual_risk_class,actual_safe,binary_correct,completed_delivery,damping_n_s_per_m,decision_margin,decision_source,effective_mass_kg,failure_mechanism,false_safe,future_hold_settling_time_s,future_late_hold_oscillation_rms_m,future_peak_displacement_m,future_peak_velocity_m_per_s,noise_regime,passive_persistence_veto_active,passive_residual_force_rms_n,predicted_risk_class,predicted_risk_score,predicted_safe,probe_cross_correlation_lag_s,probe_delivery_bandwidth_hz,probe_normalized_rms_tracking_error,probe_rms_tracking_error_n,probe_separation_count,rd_decay_rate_log,rd_threshold_dwell_fraction,rd_time_to_threshold_fraction,stiffness_n_per_m,stratum,terminal_phase,terminal_reason,trial_id
UNSAFE,False,False,True,4.74157188011556,0.28139299724690814,frozen_policy,0.1257169331260303,target_intrinsically_slow_settling,True,2.9899999999999993,0.00018723072369209812,0.0006378268067648503,0.03389911269088403,low,False,0.0,SAFE,0.7186070027530919,True,0.08800000000000008,0.0,1.0763189193969334,0.28216575065962146,0.0,0.0,1.0099999999999785,0.0,1761.0839052699182,broad,DECISION,observation_complete,exp0009_broad_s14101_c00
UNSAFE,False,False,True,4.74157188011556,0.2536362232003423,frozen_policy,0.1257169331260303,target_intrinsically_slow_settling,True,2.9899999999999993,0.00018723072369209812,0.0006378268067648503,0.03389911269088403,nominal,False,0.0,SAFE,0.7463637767996577,True,0.08800000000000008,0.0,1.0763189193969334,0.28216575065962146,0.0,0.0,0.9899999999999789,0.010000000000021103,1761.0839052699182,broad,DECISION,observation_complete,exp0009_broad_s14101_c00
UNSAFE,False,False,True,9.26328694546526,0.16910083403925047,frozen_policy,0.10421706421072761,target_intrinsically_slow_settling,True,3.0,0.00017013862311506366,0.0005709500081355583,0.029575920153263532,low,False,0.0,SAFE,0.8308991659607495,True,0.08399999999999075,0.0,1.0597981430282128,0.27771253251394945,0.0,0.0,1.0099999999999785,0.0,1973.0470263777013,broad,DECISION,observation_complete,exp0009_broad_s14101_c15
UNSAFE,False,False,True,9.26328694546526,0.07703893889470059,frozen_policy,0.10421706421072761,target_intrinsically_slow_settling,True,3.0,0.00017013862311506366,0.0005709500081355583,0.029575920153263532,nominal,False,0.0,SAFE,0.9229610611052994,True,0.08399999999999075,0.0,1.0597981430282128,0.27771253251394945,0.0,0.0,0.9899999999999789,0.010000000000021103,1973.0470263777013,broad,DECISION,observation_complete,exp0009_broad_s14101_c15
UNSAFE,False,False,True,0.45036937144013006,0.24648073255631986,frozen_policy,0.11474210806381326,target_intrinsically_slow_settling,True,3.0,0.00018349957032885012,0.0006385359167594095,0.04652810562658336,low,False,0.0,SAFE,0.7535192674436801,True,0.08899999999999884,0.0,1.0803815833627228,0.2831062760119453,0.0,0.0,0.9899999999999789,0.010000000000021103,1786.4734839079567,broad,DECISION,observation_complete,exp0009_broad_s14102_c04
UNSAFE,False,False,True,0.45036937144013006,0.37574330042344684,frozen_policy,0.11474210806381326,target_intrinsically_slow_settling,True,3.0,0.00018349957032885012,0.0006385359167594095,0.04652810562658336,nominal,False,0.0,SAFE,0.6242566995765532,True,0.08899999999999884,0.0,1.0803815833627228,0.2831062760119453,0.0,0.0,0.9899999999999789,0.010000000000021103,1786.4734839079567,broad,DECISION,observation_complete,exp0009_broad_s14102_c04
UNSAFE,False,False,True,0.7519467925628913,0.16237752861156285,frozen_policy,0.16624322840706882,target_intrinsically_slow_settling,True,3.0,0.00026742551037224025,0.0009321294773582682,0.0466855317815512,low,False,0.0,SAFE,0.8376224713884372,True,0.12400000000000011,0.0,1.1299514662810994,0.29622595863202933,0.0,2.2303792453841687,0.8799999999999812,0.12000000000001876,1182.7740305882917,broad,DECISION,observation_complete,exp0009_broad_s14102_c13
UNSAFE,False,False,True,0.7519467925628913,0.03249303727110053,frozen_policy,0.16624322840706882,target_intrinsically_slow_settling,True,3.0,0.00026742551037224025,0.0009321294773582682,0.0466855317815512,nominal,False,0.0,SAFE,0.9675069627288995,True,0.12400000000000011,0.0,1.1299514662810994,0.29622595863202933,0.0,0.0,0.799999999999983,0.20000000000001705,1182.7740305882917,broad,DECISION,observation_complete,exp0009_broad_s14102_c13
UNSAFE,False,False,True,1.861544213138161,0.002847214144917398,frozen_policy,0.56202379710855,target_intrinsically_slow_settling,True,inf,inf,inf,inf,low,False,0.0,SAFE,0.9971527858550826,True,0.13000000000000012,0.0,1.092336995829699,0.28636501955596955,0.0,1.2479367831633237,0.9699999999999793,0.030000000000020677,1273.4628173262238,broad,DECISION,observation_complete,exp0009_broad_s14105_c12
UNSAFE,False,False,True,1.4873912715104967,0.11848267396499124,frozen_policy,0.7334763915862558,target_intrinsically_slow_settling,True,inf,inf,inf,inf,low,False,0.0,SAFE,0.8815173260350088,True,0.08400000000000007,0.0,1.0794449129908803,0.2828608282322842,0.0,0.49755003394924546,1.0099999999999785,0.0,2398.2925586875635,broad,DECISION,observation_complete,exp0009_broad_s14105_c23
