binary_accuracy,false_negative_count,false_negative_rate,false_positive_count,false_positive_rate,false_safe_ci95_lower,false_safe_ci95_upper,false_safe_count,false_safe_one_sided95_upper,false_safe_rate,noise_regime,non_safe_count,non_safe_recall,safe_count,safe_precision,scope,sensitivity_non_safe,specificity_safe,stratum,trial_count,true_non_safe_count,true_safe_count
0.6458333333333334,6,0.0375,79,0.9875,0.013884076240396394,0.07983210971113924,6,0.07266876382866583,0.0375,low,160,0.9625,80,0.14285714285714285,end_to_end_abort_is_non_safe,0.9625,0.0125,overall,240,154,1
0.6533333333333333,6,0.05825242718446602,46,0.9787234042553191,0.021675197891908964,0.12248703892795629,6,0.11173286061517253,0.05825242718446602,low,103,0.941747572815534,47,0.14285714285714285,end_to_end_abort_is_non_safe,0.941747572815534,0.02127659574468085,broad,150,97,1
0.6333333333333333,0,0.0,33,1.0,0.0,0.06266748091448493,0,0.05119948367703919,0.0,low,57,1.0,33,0.0,end_to_end_abort_is_non_safe,1.0,0.0,boundary,90,57,0
0.43333333333333335,6,0.08571428571428572,79,0.9875,0.03210763615568817,0.177285919097191,6,0.1621765168083472,0.08571428571428572,low,70,0.9142857142857143,80,0.14285714285714285,frozen_policy_completed_delivery_only,0.9142857142857143,0.0125,overall,150,64,1
0.4090909090909091,6,0.14634146341463414,46,0.9787234042553191,0.055657363712433815,0.2917304880174934,6,0.26854421441737886,0.14634146341463414,low,41,0.8536585365853658,47,0.14285714285714285,frozen_policy_completed_delivery_only,0.8536585365853658,0.02127659574468085,broad,88,35,1
0.46774193548387094,0,0.0,33,1.0,0.0,0.11944486906950269,0,0.0981446276772957,0.0,low,29,1.0,33,0.0,frozen_policy_completed_delivery_only,1.0,0.0,boundary,62,29,0
0.6541666666666667,4,0.025,79,0.9875,0.006852742733545814,0.0627706079546554,4,0.05629298524006495,0.025,nominal,160,0.975,80,0.2,end_to_end_abort_is_non_safe,0.975,0.0125,overall,240,156,1
0.6666666666666666,4,0.038834951456310676,46,0.9787234042553191,0.01068093278982801,0.09645447837650381,4,0.086663908011751,0.038834951456310676,nominal,103,0.9611650485436893,47,0.2,end_to_end_abort_is_non_safe,0.9611650485436893,0.02127659574468085,broad,150,99,1
0.6333333333333333,0,0.0,33,1.0,0.0,0.06266748091448493,0,0.05119948367703919,0.0,nominal,57,1.0,33,0.0,end_to_end_abort_is_non_safe,1.0,0.0,boundary,90,57,0
0.44666666666666666,4,0.05714285714285714,79,0.9875,0.015787082153238933,0.13989417409797833,4,0.12600808886492756,0.05714285714285714,nominal,70,0.9428571428571428,80,0.2,frozen_policy_completed_delivery_only,0.9428571428571428,0.0125,overall,150,66,1
0.4318181818181818,4,0.0975609756097561,46,0.9787234042553191,0.02722746679836073,0.23131454930946083,4,0.20950530270682366,0.0975609756097561,nominal,41,0.9024390243902439,47,0.2,frozen_policy_completed_delivery_only,0.9024390243902439,0.02127659574468085,broad,88,37,1
0.46774193548387094,0,0.0,33,1.0,0.0,0.11944486906950269,0,0.0981446276772957,0.0,nominal,29,1.0,33,0.0,frozen_policy_completed_delivery_only,1.0,0.0,boundary,62,29,0
0.6666666666666666,0,0.0,80,1.0,0.0,0.022791749455466522,0,0.018549134077503804,0.0,high,160,1.0,80,0.0,end_to_end_abort_is_non_safe,1.0,0.0,overall,240,160,0
0.6866666666666666,0,0.0,47,1.0,0.0,0.03518061757434018,0,0.028665888103637016,0.0,high,103,1.0,47,0.0,end_to_end_abort_is_non_safe,1.0,0.0,broad,150,103,0
0.6333333333333333,0,0.0,33,1.0,0.0,0.06266748091448493,0,0.05119948367703919,0.0,high,57,1.0,33,0.0,end_to_end_abort_is_non_safe,1.0,0.0,boundary,90,57,0
0.4666666666666667,0,0.0,80,1.0,0.0,0.05133379715102374,0,0.041893344066888605,0.0,high,70,1.0,80,0.0,frozen_policy_completed_delivery_only,1.0,0.0,overall,150,70,0
0.4659090909090909,0,0.0,47,1.0,0.0,0.08604383629402843,0,0.07046111727016402,0.0,high,41,1.0,47,0.0,frozen_policy_completed_delivery_only,1.0,0.0,broad,88,41,0
0.46774193548387094,0,0.0,33,1.0,0.0,0.11944486906950269,0,0.0981446276772957,0.0,high,29,1.0,33,0.0,frozen_policy_completed_delivery_only,1.0,0.0,boundary,62,29,0
