target,pipeline,sweep_channel,timing_offset_s,timing_offset_ms,trial_count,failure_fraction,stiffness_relative_bias,stiffness_median_abs_relative_error,stiffness_p95_abs_relative_error,damping_relative_bias,damping_median_abs_relative_error,damping_p95_abs_relative_error,effective_mass_relative_bias,effective_mass_median_abs_relative_error,effective_mass_p95_abs_relative_error
rigid_high_stiffness,direct,displacement,-0.02,-20.0,20,0.0,-0.10635065197226463,0.10625388164693612,0.1228660495750484,-1.717982504126884,1.7178817886553106,1.7591862517819654,-0.2174789238115097,0.2198124650889941,0.23622291139593676
rigid_high_stiffness,direct,displacement,-0.01,-10.0,20,0.0,-0.072883736282031,0.0722172470857015,0.09314099404617444,-0.8541517717028014,0.8519194001754964,0.8919038266314266,-0.21733076019874006,0.21900169627271548,0.23756933206938077
rigid_high_stiffness,direct,displacement,-0.005,-5.0,20,0.0,-0.0720884030788107,0.0711474582557832,0.09431930927434447,-0.4447568928348181,0.44408552610653673,0.47873379385277537,-0.17763820212998072,0.1767489451503863,0.20179153618395285
rigid_high_stiffness,direct,displacement,-0.0025,-2.5,20,0.0,-0.0735213379165045,0.07232073792747593,0.09684549804283148,-0.23838156368064828,0.23554009258102707,0.2700221037371743,-0.14622365362109785,0.14411493257069896,0.17397803716496804
rigid_high_stiffness,direct,displacement,-0.001,-1.0,20,0.0,-0.07499937036584779,0.07360779308581306,0.09899675712154234,-0.11234901976381198,0.10828893314649585,0.1425432947834604,-0.12321008179319355,0.12074327753461134,0.15339638798840616
rigid_high_stiffness,direct,displacement,0.0,0.0,20,0.0,-0.07625789973167194,0.07475045388028843,0.10073697118456951,-0.026598207766399467,0.022961461477020606,0.05578233563718358,-0.10639366679447644,0.10364600624430054,0.13832371349414974
rigid_high_stiffness,direct,displacement,0.001,1.0,20,0.0,-0.07774652417583511,0.07610718284646162,0.10268179400646393,0.060698160121766064,0.06421572820471236,0.09835955579975961,-0.08823127822839041,0.08566120878592365,0.12076926414997277
rigid_high_stiffness,direct,displacement,0.0025,2.5,20,0.0,-0.08052477058282113,0.0790818104821256,0.10618893771747223,0.19524884735863599,0.19929819941136512,0.23455040982242198,-0.05873686191465115,0.05558491846067248,0.09225384236322541
rigid_high_stiffness,direct,displacement,0.005,5.0,20,0.0,-0.08698407553478679,0.0859980877856758,0.11385244261514359,0.42951331328855324,0.43382383700272276,0.4719225477456075,-0.0021858179424501857,0.008653021588902021,0.04228676337075772
rigid_high_stiffness,direct,displacement,0.01,10.0,20,0.0,-0.11070294719277922,0.11069592510399537,0.139684542318564,0.9461457191275707,0.9484973616190795,1.0087613902250312,0.13548437435080488,0.14093860940779024,0.15732638500469032
rigid_high_stiffness,direct,displacement,0.02,20.0,20,0.0,-0.2700746964783508,0.2701916780060775,0.29715865877153425,2.0099806562263125,2.0291309012240695,2.09599950602338,0.42109834619800673,0.4342215167255219,0.4594392026177818
rigid_high_stiffness,direct,acceleration,-0.02,-20.0,20,0.0,-0.3450345622380961,0.34289119599598394,0.3621796198487498,1.109338505268561,1.0994770190460148,1.199182698235491,-0.34129799107366915,0.34538468202972794,0.3659971485444398
rigid_high_stiffness,direct,acceleration,-0.01,-10.0,20,0.0,-0.13481705641152214,0.13220056477098852,0.15736795994223865,0.8300861197882453,0.8357155239543272,0.8889844047642358,-0.12662678724099727,0.12420116703668072,0.15637200417972857
rigid_high_stiffness,direct,acceleration,-0.005,-5.0,20,0.0,-0.09184196500815787,0.09236115306784433,0.11454089016477861,0.42177421581709007,0.4261528741257645,0.4683953745198203,-0.11378292173208013,0.11249008437276053,0.14406618657168124
rigid_high_stiffness,direct,acceleration,-0.0025,-2.5,20,0.0,-0.08080080132401332,0.08136793952949131,0.10475705044547047,0.20032111875226621,0.20328275481461944,0.2416685158869929,-0.11020872125754674,0.1084604470600663,0.14180078364781962
rigid_high_stiffness,direct,acceleration,-0.001,-1.0,20,0.0,-0.07746885780264687,0.07687448388827817,0.1018372331193858,0.06519139920169145,0.06843600308598424,0.10151549075151164,-0.1085616290423875,0.10689643960570372,0.1406234305299984
rigid_high_stiffness,direct,acceleration,0.0,0.0,20,0.0,-0.07625789973167194,0.07475045388028843,0.10073697118456951,-0.026598207766399467,0.022961461477020606,0.05578233563718358,-0.10639366679447644,0.10364600624430054,0.13832371349414974
rigid_high_stiffness,direct,acceleration,0.001,1.0,20,0.0,-0.07599905222716602,0.07392002998790331,0.10045657966675986,-0.11795028557580398,0.11478375335160314,0.14805038538282445,-0.10486909023421305,0.10143945590906256,0.13649480773629358
rigid_high_stiffness,direct,acceleration,0.0025,2.5,20,0.0,-0.07746662436459649,0.07495989022682983,0.10171921794995614,-0.25441127292375143,0.25104136040409103,0.2859852549557904,-0.10155962131101379,0.09782040882436505,0.1324486614902174
rigid_high_stiffness,direct,acceleration,0.005,5.0,20,0.0,-0.08481700589307285,0.08170413485224946,0.10823115789379176,-0.48092844958260345,0.4763920017590517,0.5140024138741562,-0.09567685710200165,0.09291226598680513,0.1252418724257061
rigid_high_stiffness,direct,acceleration,0.01,10.0,20,0.0,-0.12016969899762286,0.11684671128312737,0.1418995498588914,-0.9098696661689731,0.9082625931062993,0.9502787132824634,-0.08711606085891252,0.0857705239221172,0.11260416710187947
rigid_high_stiffness,direct,acceleration,0.02,20.0,20,0.0,-0.3180329113321973,0.32036384121505646,0.3364668627340398,-1.2889531156432927,1.276788061645958,1.3865322146078827,-0.24621263248516612,0.2571311441895916,0.2823748005419201
rigid_high_stiffness,direct,force,-0.02,-20.0,20,0.0,-0.21888579602306435,0.21858698618604763,0.24421744280954422,-0.43487831577937114,0.43466173859466395,0.45445714788691544,-0.01756868148692705,0.017242285128928003,0.04547489665954805
rigid_high_stiffness,direct,force,-0.01,-10.0,20,0.0,-0.12022894214783922,0.11798392072035932,0.14729912066640397,-0.16810966450931655,0.1646013455591519,0.1899150073654996,0.008358798914484123,0.015918982507384882,0.030330733564402135
rigid_high_stiffness,direct,force,-0.005,-5.0,20,0.0,-0.08956485631989083,0.08744216212457884,0.11590657660561701,-0.07603437691059194,0.07108164722676484,0.10135824791218316,-0.029883351001522042,0.02575234822828243,0.06166010508110853
rigid_high_stiffness,direct,force,-0.0025,-2.5,20,0.0,-0.08061597057608588,0.07865619697003189,0.10599057363182258,-0.0458697237002776,0.041753229904432664,0.07320946110592667,-0.06295401186414651,0.059044139682848495,0.09481588808689949
rigid_high_stiffness,direct,force,-0.001,-1.0,20,0.0,-0.07726960041991937,0.07538383439726641,0.10209735152242624,-0.0334553443043394,0.02972959862396829,0.0619846508964212,-0.08732023142925716,0.08405683182337853,0.1191957414609611
rigid_high_stiffness,direct,force,0.0,0.0,20,0.0,-0.07625789973167194,0.07475045388028843,0.10073697118456951,-0.026598207766399467,0.022961461477020606,0.05578233563718358,-0.10639366679447644,0.10364600624430054,0.13832371349414974
rigid_high_stiffness,direct,force,0.001,1.0,20,0.0,-0.07602521628076189,0.07509749740368796,0.1001913591086668,-0.022667133002026895,0.019516605196363557,0.05246742016574777,-0.12604768881715084,0.1239746804332782,0.15764610682934527
rigid_high_stiffness,direct,force,0.0025,2.5,20,0.0,-0.07706458523400958,0.07698860624990192,0.10070069284020246,-0.02184326076759758,0.019348682235175295,0.05219940336990039,-0.15874569154968085,0.15744422294920746,0.1898203171592696
rigid_high_stiffness,direct,force,0.005,5.0,20,0.0,-0.08202216493019428,0.08227525944188978,0.10460707485234437,-0.030664058846792457,0.027578688217125613,0.061749001292365206,-0.21924130808934522,0.21754276004790363,0.24909846486783813
rigid_high_stiffness,direct,force,0.01,10.0,20,0.0,-0.1013725875753793,0.10138617213952755,0.121473148724074,-0.09495139482510263,0.09150087473709227,0.1264780083262269,-0.3526354027406019,0.35266199837574064,0.37951833335468904
rigid_high_stiffness,direct,force,0.02,20.0,20,0.0,-0.1557692101457136,0.155973322618317,0.1722537680231179,-0.4017481876961351,0.39716984232399033,0.4308671332951102,-0.6117308707875833,0.6136047193813994,0.629978715839409
rigid_high_stiffness,direct,filter_group_delay,0.0,0.0,20,0.0,-0.07625789973167194,0.07475045388028843,0.10073697118456951,-0.026598207766399467,0.022961461477020606,0.05578233563718358,-0.10639366679447644,0.10364600624430054,0.13832371349414974
rigid_high_stiffness,direct,filter_group_delay,0.0025,2.5,20,0.0,-0.08006276453567754,0.0778795287781345,0.10556323267870349,-0.043862575974246705,0.0398458701236926,0.0728461298435646,-0.06283594067863536,0.05748673450826658,0.0946358711271131
rigid_high_stiffness,direct,filter_group_delay,0.005,5.0,20,0.0,-0.08825916564156695,0.08577789537809105,0.11396972127051476,-0.07374268006463623,0.07334142304977628,0.10217753678489326,-0.027523375847508545,0.023017502061827955,0.05836966337437311
rigid_high_stiffness,direct,filter_group_delay,0.01,10.0,20,0.0,-0.11621548702290521,0.11347432917513317,0.13796555435351557,-0.16223629662377534,0.16107620485832666,0.1961818817718873,0.015817476337655022,0.018664345903967927,0.05046321149956885
rigid_high_stiffness,direct,filter_group_delay,0.02,20.0,20,0.0,-0.20756195482872908,0.20768340706487753,0.22997627847770757,-0.419172271125466,0.41950499521461104,0.4606925185794776,0.003972445158519378,0.017015062810054715,0.04016548725605704
rigid_high_stiffness,direct,filter_group_delay,0.04,40.0,20,0.0,-0.410622262876553,0.4142283768265529,0.42414378626480775,-0.9647744677465386,0.9621877654678421,1.0032081834564872,-0.23555960890739858,0.23501904479444014,0.26339216112193603
compliant,direct,displacement,-0.02,-20.0,20,0.0,-0.016844891882397343,0.01843748961681186,0.029125387027612654,-0.3283699562368766,0.32466716348863256,0.3694250533568532,-0.12407428190426359,0.12190147330448053,0.14555613701946754
compliant,direct,displacement,-0.01,-10.0,20,0.0,-0.01977763585482296,0.02113087095603781,0.03278473881947855,-0.16602068928946587,0.1629782336456797,0.20514210686054848,-0.0920183462064594,0.09046488884912662,0.11295664284981735
compliant,direct,displacement,-0.005,-5.0,20,0.0,-0.020470270773564947,0.021726051885335166,0.033898528548692596,-0.08385129392608943,0.08114846268109935,0.12240838173238693,-0.07162091409554608,0.0704151131333921,0.09238432008653928
compliant,direct,displacement,-0.0025,-2.5,20,0.0,-0.020735642196410702,0.021942427686851576,0.03439342932673997,-0.04145835096953176,0.03881882770664058,0.07988802612724544,-0.06051603033527379,0.05923036537824378,0.08122534821777026
compliant,direct,displacement,-0.001,-1.0,20,0.0,-0.020898983440699667,0.022074409773076765,0.034699731548234684,-0.015514473101548135,0.016748656373225757,0.05392373885263453,-0.05358176526787597,0.05222180588655112,0.07427021458225642
compliant,direct,displacement,0.0,0.0,20,0.0,-0.021015205029072233,0.02217006097722475,0.03491633279208071,0.0020541696041499686,0.018805139974562214,0.045039256876072624,-0.04886965714772647,0.04745437064461666,0.06954779562126734
compliant,direct,displacement,0.001,1.0,20,0.0,-0.021141197777090642,0.02227299761030075,0.03514107974715934,0.019836870148035184,0.02214769151364724,0.06325305722316892,-0.044085520825302794,0.04261323438828857,0.06475839285160312
compliant,direct,displacement,0.0025,2.5,20,0.0,-0.021360059021949224,0.02245743104857837,0.035515897486761934,0.04695508267649134,0.04939297818392152,0.09104418651648316,-0.03680512180752822,0.03523704480707002,0.05747672145631553
compliant,direct,displacement,0.005,5.0,20,0.0,-0.021836237924075408,0.022869720344222702,0.0362596513041591,0.09320878628150085,0.09549735118060143,0.13850982287391508,-0.024363687944465928,0.022614008327356494,0.04505779550178248
compliant,direct,displacement,0.01,10.0,20,0.0,-0.023448598075364608,0.024324589497952187,0.038437888554466185,0.18995131313801716,0.19153016845224063,0.2379878843662175,0.0011498198843640673,0.008805267893657653,0.02025569022872165
compliant,direct,displacement,0.02,20.0,20,0.0,-0.03132549688846557,0.031813423762737755,0.04747745659080755,0.3951092438830265,0.39701319099607657,0.4490637735155512,0.05153725374916611,0.055128750240527324,0.06858749804891176
compliant,direct,acceleration,-0.02,-20.0,20,0.0,-0.14247062375698505,0.1448922949671272,0.1501061999075698,0.6535046484295246,0.650289526475597,0.6920222772445874,-0.2601096828650899,0.2570647293839712,0.2759163744627008
compliant,direct,acceleration,-0.01,-10.0,20,0.0,-0.05765288166496755,0.06077145611435278,0.06990699593206065,0.421465693629119,0.42693736551456196,0.465944167350791,-0.10767281031750228,0.10598547372316558,0.12905566062751994
compliant,direct,acceleration,-0.005,-5.0,20,0.0,-0.03211676397897158,0.034816920897004944,0.046091152169980124,0.22574397379523314,0.2295545728884914,0.27007286149728915,-0.06510664450470079,0.06203734140657069,0.08595150560079388
compliant,direct,acceleration,-0.0025,-2.5,20,0.0,-0.024609004290871934,0.026326176625007563,0.0387579164917548,0.11614352769243741,0.11960794516320847,0.15991038970163338,-0.05333047352010163,0.05101590809057077,0.0744151680069729
compliant,direct,acceleration,-0.001,-1.0,20,0.0,-0.02186172436094127,0.02292107735817531,0.03594532878880083,0.047954234889944894,0.0507323152414938,0.09126281296551632,-0.04997460284013662,0.0481420174900653,0.07093982274969872
compliant,direct,acceleration,0.0,0.0,20,0.0,-0.021015205029072233,0.02217006097722475,0.03491633279208071,0.0020541696041499686,0.018805139974562214,0.045039256876072624,-0.04886965714772647,0.04745437064461666,0.06954779562126734
compliant,direct,acceleration,0.001,1.0,20,0.0,-0.020819173952380084,0.022012337740880808,0.034622574462635426,-0.043298180094199105,0.04131580957635315,0.08165295548882567,-0.04894941003772786,0.04793764397518219,0.06931000438502702
compliant,direct,acceleration,0.0025,2.5,20,0.0,-0.021393307280011816,0.02216672041306097,0.03484720693119855,-0.11167420712371398,0.11036234074039655,0.15005239285218674,-0.05109025567355976,0.050478907384418736,0.07064469374295983
compliant,direct,acceleration,0.005,5.0,20,0.0,-0.025908851417712358,0.027105678621881707,0.03879927143340709,-0.22286911913142382,0.22216093537780685,0.26148727888595635,-0.06087914120217168,0.06023317004351125,0.0793337544826964
compliant,direct,acceleration,0.01,10.0,20,0.0,-0.0464714692780089,0.04837542358735398,0.06048360359357355,-0.42209199394369296,0.4212576207449512,0.461469520763535,-0.10010421910658289,0.10093343329876558,0.11874387242398698
compliant,direct,acceleration,0.02,20.0,20,0.0,-0.12743589808824501,0.13062777052661412,0.1400631353219352,-0.6646709508685394,0.6647531519448278,0.6972397233240756,-0.2492264677519927,0.25066359984817066,0.2681761618842976
compliant,direct,force,-0.02,-20.0,20,0.0,-0.13123515837954308,0.1326866811605184,0.1423534165863701,-0.5461313965380844,0.5453770033393183,0.5790524004949295,-0.21489101604876687,0.2164662219532929,0.22727637169983675
compliant,direct,force,-0.01,-10.0,20,0.0,-0.05003093090808397,0.05080436893606852,0.06287978997386304,-0.2846872421067344,0.2841117252066844,0.3231200763177048,-0.07383665506237413,0.07411677011164985,0.09051112489857085
compliant,direct,force,-0.005,-5.0,20,0.0,-0.02745322710380759,0.028449634953184103,0.04112328629963587,-0.14142052266562752,0.14008858149481399,0.1806813406603672,-0.043389090156416524,0.04280542105695884,0.0631576552561395
compliant,direct,force,-0.0025,-2.5,20,0.0,-0.022051375226178494,0.023306544099443015,0.035902098778866354,-0.06957917595479927,0.06752553329918003,0.10857114711651403,-0.04141632579905306,0.04050241694201917,0.06173195075681601
compliant,direct,force,-0.001,-1.0,20,0.0,-0.021015566484761623,0.02221524503505066,0.034898591516471185,-0.026454071196741084,0.02499451449119707,0.0651380194774043,-0.044526248127201094,0.04333377880396916,0.06505681390597325
compliant,direct,force,0.0,0.0,20,0.0,-0.021015205029072233,0.02217006097722475,0.03491633279208071,0.0020541696041499686,0.018805139974562214,0.045039256876072624,-0.04886965714772647,0.04745437064461666,0.06954779562126734
compliant,direct,force,0.001,1.0,20,0.0,-0.02175101977531959,0.022878136157983276,0.03556801540764956,0.029620238947743065,0.03210100296239728,0.07220150101371905,-0.054815257766372215,0.053186727026874436,0.07555680975239643
compliant,direct,force,0.0025,2.5,20,0.0,-0.02458415911871186,0.025784331247593287,0.03826281290291871,0.07099326144620799,0.07353250322748997,0.11280436086229481,-0.06688711495398988,0.06485397089084177,0.08775109365245184
compliant,direct,force,0.005,5.0,20,0.0,-0.032278801989082936,0.034033292239592325,0.045418797253273704,0.1379127069819245,0.14049215075390453,0.17833810581991974,-0.09391007793523949,0.09121180482790248,0.11489212962194992
compliant,direct,force,0.01,10.0,20,0.0,-0.05777628915834546,0.060278434175089546,0.06918438304677445,0.2591003380125643,0.26242117629207895,0.2956942235487482,-0.17160122095536606,0.16934341145835008,0.19222951517198322
compliant,direct,force,0.02,20.0,20,0.0,-0.1327673674101775,0.1342982119843697,0.13936522070849006,0.43746509210643686,0.4406623256081672,0.4651789237577102,-0.38645654087780384,0.38794008484703424,0.4019674072676135
compliant,direct,filter_group_delay,0.0,0.0,20,0.0,-0.021015205029072233,0.02217006097722475,0.03491633279208071,0.0020541696041499686,0.018805139974562214,0.045039256876072624,-0.04886965714772647,0.04745437064461666,0.06954779562126734
compliant,direct,filter_group_delay,0.0025,2.5,20,0.0,-0.02164248786547619,0.022413871282138585,0.03532244468984145,-0.06852344275597329,0.06735168294076921,0.10661914971137708,-0.04028825316093656,0.03974553645000434,0.05976794138619186
compliant,direct,filter_group_delay,0.005,5.0,20,0.0,-0.026309549999471875,0.027495194959498905,0.0396116419985228,-0.14056291945746244,0.14061466916271073,0.17793929176457285,-0.04137893668389079,0.04131962737410988,0.06063622030209921
