target,pipeline,timing_profile,trial_count,failure_fraction,stiffness_relative_bias,stiffness_median_abs_relative_error,stiffness_p95_abs_relative_error,damping_relative_bias,damping_median_abs_relative_error,damping_p95_abs_relative_error,effective_mass_relative_bias,effective_mass_median_abs_relative_error,effective_mass_p95_abs_relative_error
rigid_high_stiffness,backward_difference,synchronized,20,0.0,-0.612812785621397,0.6142015206657665,0.6189699680084173,-0.5009145728626339,0.4970644879286888,0.5225338868546291,-1.0221367290643606,1.0222403969141807,1.0231398242162688
rigid_high_stiffness,causal_low_pass,synchronized,20,0.0,-0.42013485385373234,0.421246224523423,0.4295601313438485,-0.32606793493244335,0.3241184675144501,0.34359073345496455,-0.8972400684475257,0.8967541106880104,0.9135191497708
rigid_high_stiffness,causal_polynomial,synchronized,20,0.0,-0.269504506609892,0.2704066048425072,0.28310550835803067,-2.5301066800126986,2.5324585315906716,2.5633034427853447,-0.13264517697629313,0.13298361378581802,0.15208867369147133
rigid_high_stiffness,alpha_beta_gamma,synchronized,20,0.0,-0.20013372400483095,0.20210129192513426,0.20784137330420638,-2.5909363477316187,2.5880075988107034,2.617266028560054,-0.23204528696158544,0.23312037571164979,0.24025833735884472
rigid_high_stiffness,centered_savitzky_golay,synchronized,20,0.0,0.04041839824963062,0.039734032577257036,0.056781162248236434,-0.05784366437656463,0.056110639496665365,0.07598640531083428,0.5116892063547045,0.5107111737453138,0.5405808451542035
rigid_high_stiffness,backward_difference,exp_0002_nominal_timing,20,0.0,-0.5879944901554737,0.5883388946906701,0.5937161945031884,-0.4976817198351492,0.4980093605288649,0.5224311258858728,-1.0227482537135337,1.0225377346510394,1.0240595023260655
rigid_high_stiffness,causal_low_pass,exp_0002_nominal_timing,20,0.0,-0.4040537737070299,0.40455547792350144,0.41302946134574614,-0.31854027195485124,0.31792898674461445,0.33760901381588687,-0.9040603390024696,0.9035079799378947,0.9200534440548669
rigid_high_stiffness,causal_polynomial,exp_0002_nominal_timing,20,0.0,-0.24623443047683863,0.24552478855756082,0.2615070942121936,-2.4959856518137116,2.496860425783832,2.535206622746126,-0.1382830907211961,0.13448066200363407,0.15723844725298017
rigid_high_stiffness,alpha_beta_gamma,exp_0002_nominal_timing,20,0.0,-0.1838587660747002,0.18614918776574535,0.19172301497811997,-2.5993525231734163,2.5963654205336013,2.624153580187289,-0.22771764638267306,0.2295650859055307,0.2367591425804319
rigid_high_stiffness,centered_savitzky_golay,exp_0002_nominal_timing,20,0.0,0.03801780618505933,0.037226293634488115,0.054229832289461474,-0.0695272078879542,0.06959406160814652,0.08921351859012798,0.44969161332400487,0.44898935337153567,0.4771992465884253
rigid_high_stiffness,backward_difference,exp_0002_nominal_plus_mismatch,20,0.0,-0.5829066795026321,0.583461124822078,0.6195127389766023,-0.5009498566812685,0.5051602116829439,0.5234762670782335,-1.0227070477980338,1.0227028096690418,1.0244254379674158
rigid_high_stiffness,causal_low_pass,exp_0002_nominal_plus_mismatch,20,0.0,-0.40082318091336777,0.4028621977102592,0.426024981545645,-0.3241659080215452,0.32584002659356837,0.3444810498788184,-0.9050933201194798,0.9042389691979471,0.9228903723744425
