target_id,source_seed,case_index,noise_regime,noise_multiplier,observation_duration_s,feature_set,predicted_risk_class,predicted_risk_score,decision_margin,predicted_contact_loss_proxy,passive_persistence_veto_active,probe_force_squared_dose_n2_s,estimated_stiffness_n_per_m,estimated_damping_n_s_per_m,estimated_effective_mass_kg,stiffness_abs_relative_error,damping_abs_relative_error,effective_mass_abs_relative_error,true_stiffness_n_per_m,true_damping_n_s_per_m,true_effective_mass_kg,rd_observation_duration_s,rd_valid,rd_decay_rate_log,rd_decay_fit_r2,rd_decay_time_constant_log,rd_dominant_frequency_hz,rd_log_decrement_log,rd_damping_ratio,rd_peak_count_log,rd_residual_peak_log,rd_residual_rms_log,rd_displacement_ratio_log,rd_velocity_ratio_log,rd_threshold_reached,rd_time_to_threshold_fraction,rd_threshold_dwell_fraction,rd_zero_crossing_rate_log,rd_energy_decay_rate_log,rd_energy_ratio_log,predicted_peak_displacement_m,upper_peak_displacement_m,predicted_peak_velocity_m_per_s,upper_peak_velocity_m_per_s,predicted_late_hold_oscillation_rms_m,upper_late_hold_oscillation_rms_m,predicted_hold_settling_time_s,upper_hold_settling_time_s,actual_risk_class,actual_risk_score,classification_correct,false_safe,false_unsafe,actual_contact_loss_proxy,actual_peak_displacement_m,actual_peak_velocity_m_per_s,actual_late_hold_oscillation_rms_m,actual_hold_settling_time_s
validation_s6102_c11,6102,11,low,0.5,0.0,chirp_only,CAUTION,1.3536094616637995,0.32197140297114246,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035078029976078565,0.004087987585624528,0.017644388961767468,0.01968354992938775,0.00015504903922256556,0.0020304141924956994,0.9791725305000902,1.898480071680801,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.0,ringdown_only,UNSAFE,2.2675388373843295,0.3605233024305976,True,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005124139456751859,0.027210466048611954,0.01646220961382455,0.08616570394180632,3.575443506907424e-07,0.0009610387831829242,0.41404706336093045,3.0,UNSAFE,1.466,True,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.0,chirp_ringdown,CAUTION,1.3536094616626215,0.32197140297114146,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035078029976079654,0.004087987585624713,0.01764438896176728,0.019683549929387697,0.00015504903922253032,0.002030414192493932,0.9791725305000913,1.8984800716808037,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.0,physical_chirp_ringdown,CAUTION,1.9881209865535003,0.2544546300424374,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035364644209054667,0.004093177163129847,0.017557586661297846,0.019567701638857984,0.0002554154486787834,0.0029821814798302506,1.005421864092031,2.0372623598805144,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.25,chirp_only,CAUTION,1.3536094616637995,0.32197140297114246,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.25,1.0,0.8371446077662154,0.6056412267822088,0.5672989568679107,3.921568627451064,0.0,0.0,0.6931471805599453,-6.32171561826115,-6.883333044107505,-0.4677489089789835,0.3411806557472378,0.0,1.0,0.0,2.1972245773362196,0.0,0.5039380935470699,0.0035078029976078565,0.004087987585624528,0.017644388961767468,0.01968354992938775,0.00015504903922256556,0.0020304141924956994,0.9791725305000902,1.898480071680801,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.25,ringdown_only,UNSAFE,1.9429575959963996,0.16577455759783977,True,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.25,1.0,0.8371446077662154,0.6056412267822088,0.5672989568679107,3.921568627451064,0.0,0.0,0.6931471805599453,-6.32171561826115,-6.883333044107505,-0.4677489089789835,0.3411806557472378,0.0,1.0,0.0,2.1972245773362196,0.0,0.5039380935470699,0.00703026150857956,0.023315491151956795,0.02377988537856894,0.08240289294760396,5.6742749876206384e-05,0.002689571654357198,0.6577307268182425,1.881384012378152,UNSAFE,1.466,True,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.25,chirp_ringdown,CAUTION,1.7988310497744229,0.3254383563345914,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.25,1.0,0.8371446077662154,0.6056412267822088,0.5672989568679107,3.921568627451064,0.0,0.0,0.6931471805599453,-6.32171561826115,-6.883333044107505,-0.4677489089789835,0.3411806557472378,0.0,1.0,0.0,2.1972245773362196,0.0,0.5039380935470699,0.003597553051762998,0.004193690773842071,0.016845032048203184,0.018719082435455683,0.00026104018202408415,0.0026982465746616343,1.0239035214071552,1.756695351830626,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.25,physical_chirp_ringdown,CAUTION,1.871732224631916,0.2981004157630316,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.25,1.0,0.8371446077662154,0.6056412267822088,0.5672989568679107,3.921568627451064,0.0,0.0,0.6931471805599453,-6.32171561826115,-6.883333044107505,-0.4677489089789835,0.3411806557472378,0.0,1.0,0.0,2.1972245773362196,0.0,0.5039380935470699,0.0036168317173796375,0.004209047268219485,0.016848846190487026,0.018724055529899922,0.0003049473260966552,0.002807598336947874,1.0220046150233424,1.7712593915062849,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.5,chirp_only,CAUTION,1.3536094616637995,0.32197140297114246,False,False,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.5,1.0,0.015715052980814433,0.00018474706720505996,4.160983473776319,1.9801980198020224,0.04392876829371248,0.007147135166364578,1.0986122886681096,-6.218724645210517,-6.380206941854932,0.035377193273588944,-0.15363506733387558,0.0,1.0,0.0,1.6094379124341003,0.3167304802381383,-0.21775617804840122,0.0035078029976078565,0.004087987585624528,0.017644388961767468,0.01968354992938775,0.00015504903922256556,0.0020304141924956994,0.9791725305000902,1.898480071680801,UNSAFE,1.466,False,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
validation_s6102_c11,6102,11,low,0.5,0.5,ringdown_only,UNSAFE,16.994594800653402,5.372973050245027,True,True,0.2061243370333079,680.6608961660219,0.9746991815945449,3.0700623793546793,0.05557502585177681,1.1822988392367353,0.08522859382471139,720.7146303812115,0.44663872979717506,2.8289545601952346,0.5,1.0,0.015715052980814433,0.00018474706720505996,4.160983473776319,1.9801980198020224,0.04392876829371248,0.007147135166364578,1.0986122886681096,-6.218724645210517,-6.380206941854932,0.035377193273588944,-0.15363506733387558,0.0,1.0,0.0,1.6094379124341003,0.3167304802381383,-0.21775617804840122,0.009454740575036879,0.025263818947516697,0.03496918562996283,0.1019059986099234,0.0014392905919450017,0.025491892200980106,1.8811245513320365,3.0879419953776814,UNSAFE,1.466,True,False,False,False,0.003102833273651825,0.013991030582097339,0.00018690706224390243,2.932
